baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00009781-RA	14.9197541952155	-8.90181615492607	1.28244456370792	-6.48512722521098	8.86569409984757e-11	4.55410686599912e-09
Sm_t00000380-RA	88.2049843397942	-5.56747688585044	0.737815857958213	-6.75300867026448	1.4481028368641e-11	8.34109515203022e-10
Sm_t00000576-RA	114.952591016953	-5.40791215047679	0.314045515241129	-15.3573667395749	3.16157631675869e-53	7.19213446686649e-50
Sm_t00008675-RA	4.74068015026078	-5.24166052659451	1.47795459428441	-3.15074667692965	0.00162853671291109	0.0153267249505887
Sm_t00011867-RA	221.291048224007	-4.82647604198507	0.247623967761541	-17.1286975179623	9.06617395557744e-66	4.8123251356205e-62
Sm_t00006478-RA	45.1045631928469	-4.52601524186225	0.410631980263822	-9.59743865865057	8.19556815646461e-22	1.97736708065973e-19
Sm_t00018121-RA	10.2223092024214	-4.3979023720452	1.1712001326641	-3.25555151993716	0.00113172361613235	0.011242399789951
Sm_t00011868-RA	162.344779946247	-4.37624962832909	0.25256554365436	-15.0109534874538	6.22464339458698e-51	9.91212214154031e-48
Sm_t00006966-RA	38.7761228611465	-4.10346323987982	0.563901192871682	-6.23950309798415	4.38963062316056e-10	2.02024503015054e-08
Sm_t00008831-RA	146.300134146092	-3.79685534410258	0.307654149618741	-10.4398245500113	1.63111891263518e-25	5.7719861255117e-23
Sm_t00022558-RA	457.955977834813	-3.73668725053685	0.172449089635044	-18.2760445834002	1.28407646371168e-74	1.02238168040724e-70
Sm_t00003104-RA	184.808829686543	-3.71648206588989	0.223228996336626	-14.0281151520641	1.04902716250125e-44	1.11364723571133e-41
Sm_t00016355-RA	30.3873667490361	-3.6791884502529	0.416367624466963	-7.43138579569941	1.07465765198208e-13	8.38865120106016e-12
Sm_t00011733-RA	749.859479744088	-3.61559122185646	0.177244948445613	-17.0983221154333	1.52738636249121e-65	6.0805251090775e-62
Sm_t00014472-RA	51.1744060868839	-3.57857160608268	0.383418570109628	-7.80758116443539	5.8295934812836e-15	5.5587093770036e-13
Sm_t00022457-RA	659.143899102702	-3.55330575821639	0.233415592593205	-12.7168272060965	4.76831543118543e-37	3.16377728859153e-34
Sm_t00001748-RA	1255.39015631345	-3.48120308364876	0.403864035440031	-7.17123296332439	7.43252994764167e-13	5.03640880367004e-11
Sm_t00022570-RA	8.6009586126053	-3.47061439373654	0.710552989072853	-4.0610826189075	4.88456807220595e-05	0.000728977150719845
Sm_t00009729-RA	46.2985510928988	-3.46047403337264	0.473676618853686	-6.07054247332576	1.27478894639897e-09	5.45691913506914e-08
Sm_t00022571-RA	194.066360063724	-3.44607781368904	0.26105944187134	-10.9594879740036	5.98369491304722e-28	2.507483099878e-25
Sm_t00020491-RA	85.5212682076565	-3.44151561227992	0.408255968748181	-6.99687409602054	2.61736289830709e-12	1.6473868297487e-10
Sm_t00008460-RA	32.9164831021448	-3.41238532540574	0.437001046702407	-6.4699738061066	9.80199075538135e-11	4.95513970757754e-09
Sm_t00010956-RA	291.864491071861	-3.31711958353382	0.181234727377294	-15.0750334832138	2.36396015046853e-51	4.18263349289566e-48
Sm_t00013371-RA	881.383865667827	-3.29138223416228	0.248393142937776	-10.8955593626844	1.21020614253269e-27	4.81783065342262e-25
Sm_t00005246-RA	37.1449816021143	-3.19678707542141	0.524453092858626	-4.98002035069599	6.35775873522976e-07	1.47366739592138e-05
Sm_t00008903-RA	36.8715631356612	-3.1722369789006	0.360396906999876	-7.17885455909722	7.02978788456166e-13	4.80439237226437e-11
Sm_t00007486-RA	340.577445949653	-3.13191700229439	0.164950386031516	-15.4405034360318	8.74152771454133e-54	2.32000145543927e-50
Sm_t00000021-RA	94.6667481824412	-3.04733742808018	0.273538731861064	-9.00178710096108	2.22072874435394e-19	4.16033935589319e-17
Sm_t00016335-RA	11.1955514897099	-3.04641003265036	0.806634893897814	-3.05145494110273	0.00227735226802453	0.0204653259119767
Sm_t00012269-RA	828.491575963341	-3.01042340853882	0.244346897200412	-9.92614776912639	3.20395083631324e-23	8.79650226162965e-21
Sm_t00009844-RA	32.22621652091	-2.98495450772168	0.775338651115744	-3.0953629156344	0.0019657221543405	0.0179279264523014
Sm_t00003506-RA	561.77816902803	-2.98064732828795	0.159672451726794	-15.0035106393117	6.96365406029415e-51	1.00808388414658e-47
Sm_t00010112-RA	505.429531434978	-2.96285247439864	0.542233220390298	-4.3852947126461	1.15828849807118e-05	0.000206084760260172
Sm_t00011493-RA	189.827747560721	-2.95813763773713	0.235070583683208	-10.0954258102123	5.78793303471228e-24	1.84334091289517e-21
Sm_t00009663-RA	40.0689969927793	-2.95071203101429	0.356142618908748	-6.6425973905146	3.08202880130514e-11	1.7160219102092e-09
Sm_t00011841-RA	120.93348429251	-2.94553178905256	0.317865128279464	-7.42620557917005	1.11757257477554e-13	8.68108569791494e-12
Sm_t00019844-RA	42.5431118988401	-2.94355593203904	0.506200318260367	-4.65933316704456	3.17235388625012e-06	6.41073138130037e-05
Sm_t00000962-RA	2168.08440912123	-2.93537677170074	0.573115337361314	-4.10105369457069	4.11273105576474e-05	0.000624915356221352
Sm_t00005751-RA	110.900226907548	-2.89917410073489	0.42243849189827	-5.47813266337524	4.29837823405572e-08	1.32137789573558e-06
Sm_t00006571-RA	527.076299480947	-2.89749459389502	0.393504925394079	-5.87665984505569	4.18627171212392e-09	1.59478925224548e-07
Sm_t00003505-RA	102.049850569495	-2.87893809179181	0.267697970893697	-8.56912767823234	1.04271875596402e-17	1.49587869098838e-15
Sm_t00014272-RA	190.45391901593	-2.87426889878091	0.347560347292341	-6.58668031786536	4.49769240762002e-11	2.38737512996471e-09
Sm_t00006371-RA	34.0903009977702	-2.83222988406993	0.515746250320536	-4.35723940343391	1.31713175788309e-05	0.000229928076182284
Sm_t00014240-RA	14.9991677246293	-2.8089130574325	0.521009842644713	-4.26846649603323	1.96821382332905e-05	0.000326477467944707
