GO.ID	Term	Annotated	Significant	Expected	classic
GO:0003735	structural constituent of ribosome	104	82	27.73	1.4e-29
GO:0003723	RNA binding	450	219	119.98	8.4e-28
GO:0019843	rRNA binding	41	38	10.93	3.5e-19
GO:0005198	structural molecule activity	148	88	39.46	6.5e-18
GO:0003729	mRNA binding	176	94	46.93	7.2e-15
GO:0003676	nucleic acid binding	682	255	181.84	1.3e-12
GO:0030515	snoRNA binding	31	26	8.27	3.5e-11
GO:1901363	heterocyclic compound binding	1003	330	267.42	3.6e-08
GO:0097159	organic cyclic compound binding	1007	331	268.49	3.9e-08
GO:0140101	catalytic activity, acting on a tRNA	58	34	15.46	2.2e-07
GO:0140098	catalytic activity, acting on RNA	237	93	63.19	7.2e-06
GO:0008135	translation factor activity, RNA binding	70	35	18.66	2.1e-05
GO:0004812	aminoacyl-tRNA ligase activity	31	19	8.27	4.9e-05
GO:0016875	ligase activity, forming carbon-oxygen b...	31	19	8.27	4.9e-05
GO:0070180	large ribosomal subunit rRNA binding	7	7	1.87	9.4e-05
GO:0048027	mRNA 5'-UTR binding	9	8	2.4	0.00017
GO:0008173	RNA methyltransferase activity	27	16	7.2	0.00034
GO:0008097	5S rRNA binding	6	6	1.6	0.00035
GO:0043022	ribosome binding	40	21	10.66	0.00042
GO:0044183	protein binding involved in protein fold...	14	10	3.73	0.00058
GO:0003746	translation elongation factor activity	12	9	3.2	0.00064
GO:0003924	GTPase activity	58	27	15.46	0.00081
GO:0043021	ribonucleoprotein complex binding	79	34	21.06	0.00105
GO:1904680	peptide transmembrane transporter activi...	15	10	4	0.00133
GO:0008649	rRNA methyltransferase activity	13	9	3.47	0.00160
GO:0140102	catalytic activity, acting on a rRNA	13	9	3.47	0.00160
GO:0051082	unfolded protein binding	52	24	13.86	0.00181
GO:0070181	small ribosomal subunit rRNA binding	7	6	1.87	0.00192
GO:0003743	translation initiation factor activity	42	20	11.2	0.00271
GO:0008320	protein transmembrane transporter activi...	12	8	3.2	0.00424
GO:0015450	P-P-bond-hydrolysis-driven protein trans...	12	8	3.2	0.00424
GO:0022884	macromolecule transmembrane transporter ...	12	8	3.2	0.00424
GO:0008446	GDP-mannose 4,6-dehydratase activity	4	4	1.07	0.00503
GO:0042134	rRNA primary transcript binding	4	4	1.07	0.00503
GO:0070401	NADP+ binding	4	4	1.07	0.00503
GO:1990948	ubiquitin ligase inhibitor activity	4	4	1.07	0.00503
GO:0016741	transferase activity, transferring one-c...	92	36	24.53	0.00545
GO:0016884	carbon-nitrogen ligase activity, with gl...	8	6	2.13	0.00593
GO:0019838	growth factor binding	6	5	1.6	0.00624
GO:0030331	estrogen receptor binding	6	5	1.6	0.00624
GO:0033592	RNA strand annealing activity	6	5	1.6	0.00624
GO:0034511	U3 snoRNA binding	6	5	1.6	0.00624
GO:0003725	double-stranded RNA binding	16	9	4.27	0.01147
GO:0005525	GTP binding	59	24	15.73	0.01266
GO:0060590	ATPase regulator activity	14	8	3.73	0.01521
GO:0004004	ATP-dependent RNA helicase activity	66	26	17.6	0.01539
GO:0008186	RNA-dependent ATPase activity	66	26	17.6	0.01539
GO:0042887	amide transmembrane transporter activity	22	11	5.87	0.01604
GO:0008168	methyltransferase activity	85	32	22.66	0.01607
GO:0000774	adenyl-nucleotide exchange factor activi...	3	3	0.8	0.01890
GO:0004151	dihydroorotase activity	3	3	0.8	0.01890
GO:0004819	glutamine-tRNA ligase activity	3	3	0.8	0.01890
GO:0004822	isoleucine-tRNA ligase activity	3	3	0.8	0.01890
GO:0004832	valine-tRNA ligase activity	3	3	0.8	0.01890
GO:0016149	translation release factor activity, cod...	3	3	0.8	0.01890
GO:0016435	rRNA (guanine) methyltransferase activit...	3	3	0.8	0.01890
GO:0016972	thiol oxidase activity	3	3	0.8	0.01890
GO:0030283	testosterone dehydrogenase [NAD(P)] acti...	3	3	0.8	0.01890
GO:0030946	protein tyrosine phosphatase activity, m...	3	3	0.8	0.01890
GO:1990932	5.8S rRNA binding	3	3	0.8	0.01890
GO:0004930	G protein-coupled receptor activity	5	4	1.33	0.01979
GO:0016433	rRNA (adenine) methyltransferase activit...	5	4	1.33	0.01979
GO:0055105	ubiquitin-protein transferase inhibitor ...	5	4	1.33	0.01979
GO:0001882	nucleoside binding	61	24	16.26	0.01983
GO:0001883	purine nucleoside binding	61	24	16.26	0.01983
GO:0019001	guanyl nucleotide binding	61	24	16.26	0.01983
GO:0032549	ribonucleoside binding	61	24	16.26	0.01983
GO:0032550	purine ribonucleoside binding	61	24	16.26	0.01983
GO:0032561	guanyl ribonucleotide binding	61	24	16.26	0.01983
GO:0031369	translation initiation factor binding	20	10	5.33	0.02144
GO:0016861	intramolecular oxidoreductase activity, ...	13	7	3.47	0.03386
GO:0016874	ligase activity	93	33	24.8	0.03585
GO:0003730	mRNA 3'-UTR binding	16	8	4.27	0.03876
GO:0008266	poly(U) RNA binding	11	6	2.93	0.04592
GO:0005506	iron ion binding	31	13	8.27	0.04619
GO:0004360	glutamine-fructose-6-phosphate transamin...	6	4	1.6	0.04689
GO:0004376	glycolipid mannosyltransferase activity	6	4	1.6	0.04689
GO:0016812	hydrolase activity, acting on carbon-nit...	6	4	1.6	0.04689
GO:0046964	3'-phosphoadenosine 5'-phosphosulfate tr...	6	4	1.6	0.04689
GO:0031406	carboxylic acid binding	47	18	12.53	0.05284
GO:0043177	organic acid binding	47	18	12.53	0.05284
GO:0003724	RNA helicase activity	73	26	19.46	0.05579
GO:0003727	single-stranded RNA binding	35	14	9.33	0.05847
GO:0016860	intramolecular oxidoreductase activity	32	13	8.53	0.05947
GO:0015932	nucleobase-containing compound transmemb...	26	11	6.93	0.06043
GO:0001091	RNA polymerase II basal transcription fa...	4	3	1.07	0.06053
GO:0001094	TFIID-class transcription factor complex...	4	3	1.07	0.06053
GO:0008490	arsenite secondary active transmembrane ...	4	3	1.07	0.06053
GO:0015446	ATPase-coupled arsenite transmembrane tr...	4	3	1.07	0.06053
GO:0016670	oxidoreductase activity, acting on a sul...	4	3	1.07	0.06053
GO:0016756	glutathione gamma-glutamylcysteinyltrans...	4	3	1.07	0.06053
