GO.ID	Term	Annotated	Significant	Expected	classic
GO:0042254	ribosome biogenesis	261	185	60.55	< 1e-30
GO:0006364	rRNA processing	199	148	46.17	< 1e-30
GO:0034660	ncRNA metabolic process	358	210	83.06	< 1e-30
GO:0034470	ncRNA processing	273	175	63.34	< 1e-30
GO:0016072	rRNA metabolic process	221	152	51.27	< 1e-30
GO:0022613	ribonucleoprotein complex biogenesis	350	197	81.2	< 1e-30
GO:0042274	ribosomal small subunit biogenesis	107	86	24.82	< 1e-30
GO:0002181	cytoplasmic translation	146	104	33.87	< 1e-30
GO:0006412	translation	310	167	71.92	< 1e-30
GO:0043043	peptide biosynthetic process	327	169	75.87	< 1e-30
GO:0000462	maturation of SSU-rRNA from tricistronic...	69	60	16.01	8.5e-30
GO:0030490	maturation of SSU-rRNA	81	66	18.79	3.0e-29
GO:0006518	peptide metabolic process	369	175	85.61	7.7e-28
GO:0006614	SRP-dependent cotranslational protein ta...	61	54	14.15	9.7e-28
GO:0006396	RNA processing	452	201	104.87	1.4e-27
GO:0006613	cotranslational protein targeting to mem...	63	55	14.62	1.5e-27
GO:0006413	translational initiation	116	80	26.91	1.5e-26
GO:0043604	amide biosynthetic process	386	178	89.55	1.8e-26
GO:0010467	gene expression	1156	388	268.2	8.4e-25
GO:0000184	nuclear-transcribed mRNA catabolic proce...	76	58	17.63	4.5e-23
GO:0042273	ribosomal large subunit biogenesis	74	57	17.17	4.7e-23
GO:0045047	protein targeting to ER	74	57	17.17	4.7e-23
GO:1901566	organonitrogen compound biosynthetic pro...	775	283	179.8	1.6e-22
GO:0072599	establishment of protein localization to...	76	57	17.63	4.9e-22
GO:0000460	maturation of 5.8S rRNA	59	48	13.69	2.1e-21
GO:0070972	protein localization to endoplasmic reti...	81	58	18.79	1.0e-20
GO:0016070	RNA metabolic process	975	329	226.2	5.2e-20
GO:0000479	endonucleolytic cleavage of tricistronic...	36	34	8.35	5.7e-20
GO:0000469	cleavage involved in rRNA processing	50	42	11.6	6.9e-20
GO:0000466	maturation of 5.8S rRNA from tricistroni...	54	44	12.53	9.3e-20
GO:0042255	ribosome assembly	56	45	12.99	1.0e-19
GO:0000478	endonucleolytic cleavage involved in rRN...	38	35	8.82	1.3e-19
GO:0034641	cellular nitrogen compound metabolic pro...	1704	501	395.34	4.5e-19
GO:0043603	cellular amide metabolic process	468	187	108.58	8.6e-19
GO:0000447	endonucleolytic cleavage in ITS1 to sepa...	28	27	6.5	1.1e-16
GO:0006612	protein targeting to membrane	89	56	20.65	5.2e-16
GO:0090150	establishment of protein localization to...	116	65	26.91	7.6e-15
GO:0000956	nuclear-transcribed mRNA catabolic proce...	118	65	27.38	2.4e-14
GO:0006402	mRNA catabolic process	138	71	32.02	1.4e-13
GO:0000470	maturation of LSU-rRNA	36	29	8.35	3.9e-13
GO:0006725	cellular aromatic compound metabolic pro...	1541	443	357.52	6.7e-13
GO:0046483	heterocycle metabolic process	1529	440	354.74	7.6e-13
GO:0006401	RNA catabolic process	157	76	36.42	1.2e-12
GO:0000967	rRNA 5'-end processing	24	22	5.57	1.5e-12
GO:0000027	ribosomal large subunit assembly	26	23	6.03	2.4e-12
GO:0000966	RNA 5'-end processing	26	23	6.03	2.4e-12
GO:0034471	ncRNA 5'-end processing	26	23	6.03	2.4e-12
GO:0000472	endonucleolytic cleavage to generate mat...	21	20	4.87	2.8e-12
GO:0006139	nucleobase-containing compound metabolic...	1412	410	327.59	3.6e-12
GO:0090502	RNA phosphodiester bond hydrolysis, endo...	54	36	12.53	8.7e-12
GO:0000028	ribosomal small subunit assembly	20	19	4.64	1.2e-11
GO:0000480	endonucleolytic cleavage in 5'-ETS of tr...	20	19	4.64	1.2e-11
GO:1901360	organic cyclic compound metabolic proces...	1602	451	371.67	2.3e-11
GO:0044271	cellular nitrogen compound biosynthetic ...	1097	329	254.51	6.5e-11
GO:0090304	nucleic acid metabolic process	1163	345	269.82	7.1e-11
GO:0072657	protein localization to membrane	151	70	35.03	1.2e-10
GO:0000463	maturation of LSU-rRNA from tricistronic...	27	22	6.26	2.1e-10
GO:0006399	tRNA metabolic process	127	61	29.46	3.5e-10
GO:0006807	nitrogen compound metabolic process	2332	602	541.04	4.6e-09
GO:0034645	cellular macromolecule biosynthetic proc...	972	290	225.51	5.1e-09
GO:0009059	macromolecule biosynthetic process	988	292	229.22	1.4e-08
GO:0022618	ribonucleoprotein complex assembly	160	68	37.12	2.1e-08
GO:0009451	RNA modification	100	48	23.2	3.0e-08
GO:0043170	macromolecule metabolic process	1976	521	458.44	4.2e-08
GO:0090501	RNA phosphodiester bond hydrolysis	107	50	24.82	4.7e-08
GO:0071826	ribonucleoprotein complex subunit organi...	169	69	39.21	1.2e-07
GO:0006418	tRNA aminoacylation for protein translat...	31	21	7.19	1.5e-07
GO:0043038	amino acid activation	33	21	7.66	7.3e-07
GO:0043039	tRNA aminoacylation	33	21	7.66	7.3e-07
GO:0000959	mitochondrial RNA metabolic process	26	18	6.03	7.3e-07
GO:1901361	organic cyclic compound catabolic proces...	272	97	63.11	7.9e-07
GO:0019439	aromatic compound catabolic process	259	93	60.09	9.6e-07
GO:0044238	primary metabolic process	2427	612	563.08	9.7e-07
GO:0010501	RNA secondary structure unwinding	49	27	11.37	1.2e-06
GO:0001510	RNA methylation	34	21	7.89	1.5e-06
GO:0009226	nucleotide-sugar biosynthetic process	21	15	4.87	3.5e-06
GO:0034655	nucleobase-containing compound catabolic...	238	85	55.22	3.8e-06
GO:0044270	cellular nitrogen compound catabolic pro...	257	90	59.63	5.0e-06
GO:0046700	heterocycle catabolic process	259	90	60.09	7.2e-06
GO:1901576	organic substance biosynthetic process	1516	404	351.72	7.9e-06
GO:0071428	rRNA-containing ribonucleoprotein comple...	27	17	6.26	1.1e-05
GO:0071704	organic substance metabolic process	2556	634	593	1.1e-05
GO:0044085	cellular component biogenesis	1021	285	236.88	1.2e-05
GO:0000154	rRNA modification	35	20	8.12	1.4e-05
GO:0006450	regulation of translational fidelity	14	11	3.25	1.8e-05
GO:0140053	mitochondrial gene expression	67	31	15.54	2.3e-05
GO:0044249	cellular biosynthetic process	1530	404	354.97	2.6e-05
GO:0002183	cytoplasmic translational initiation	32	18	7.42	5.2e-05
GO:0000963	mitochondrial RNA processing	15	11	3.48	5.3e-05
GO:0002182	cytoplasmic translational elongation	15	11	3.48	5.3e-05
GO:0009058	biosynthetic process	1556	408	361	5.3e-05
GO:0006605	protein targeting	197	69	45.7	6.9e-05
GO:0006417	regulation of translation	136	51	31.55	9.0e-05
GO:0031167	rRNA methylation	16	11	3.71	0.00013
GO:0006414	translational elongation	48	23	11.14	0.00014
GO:0010608	posttranscriptional regulation of gene e...	205	70	47.56	0.00015
GO:0000105	histidine biosynthetic process	8	7	1.86	0.00023
GO:0001732	formation of cytoplasmic translation ini...	8	7	1.86	0.00023
GO:0046040	IMP metabolic process	8	7	1.86	0.00023
GO:0009225	nucleotide-sugar metabolic process	30	16	6.96	0.00031
GO:0008152	metabolic process	2755	668	639.17	0.00034
GO:0016071	mRNA metabolic process	321	100	74.47	0.00035
GO:0006400	tRNA modification	60	26	13.92	0.00039
GO:0006448	regulation of translational elongation	20	12	4.64	0.00043
GO:0009744	response to sucrose	20	12	4.64	0.00043
GO:0034285	response to disaccharide	20	12	4.64	0.00043
GO:0000054	ribosomal subunit export from nucleus	18	11	4.18	0.00061
GO:0033750	ribosome localization	18	11	4.18	0.00061
GO:0000055	ribosomal large subunit export from nucl...	11	8	2.55	0.00068
GO:0009892	negative regulation of metabolic process	569	162	132.01	0.00075
GO:0008033	tRNA processing	72	29	16.7	0.00081
GO:0006547	histidine metabolic process	9	7	2.09	0.00081
GO:0052803	imidazole-containing compound metabolic ...	9	7	2.09	0.00081
GO:0000373	Group II intron splicing	7	6	1.62	0.00086
GO:0006188	IMP biosynthetic process	7	6	1.62	0.00086
GO:0006189	'de novo' IMP biosynthetic process	7	6	1.62	0.00086
GO:0015931	nucleobase-containing compound transport	123	44	28.54	0.00089
GO:0044237	cellular metabolic process	2638	641	612.03	0.00094
GO:0034248	regulation of cellular amide metabolic p...	148	51	34.34	0.00097
GO:0010629	negative regulation of gene expression	399	118	92.57	0.00100
GO:0090305	nucleic acid phosphodiester bond hydroly...	170	57	39.44	0.00106
GO:0072594	establishment of protein localization to...	244	77	56.61	0.00115
GO:0045727	positive regulation of translation	51	22	11.83	0.00117
