GO.ID	Term	Annotated	Significant	Expected	classic
GO:0005694	chromosome	358	115	62.67	5.3e-13
GO:0044427	chromosomal part	300	95	52.52	2.2e-10
GO:0000228	nuclear chromosome	240	80	42.01	4.7e-10
GO:0000793	condensed chromosome	74	35	12.95	2.2e-09
GO:0044454	nuclear chromosome part	210	70	36.76	6.6e-09
GO:0043596	nuclear replication fork	50	26	8.75	2.3e-08
GO:0005657	replication fork	57	28	9.98	3.3e-08
GO:0000775	chromosome, centromeric region	69	31	12.08	8.3e-08
GO:0000785	chromatin	206	65	36.06	2.6e-07
GO:0044815	DNA packaging complex	21	14	3.68	7.6e-07
GO:0000790	nuclear chromatin	169	55	29.58	7.8e-07
GO:0000794	condensed nuclear chromosome	51	24	8.93	8.9e-07
GO:0005819	spindle	76	31	13.3	1.2e-06
GO:0098687	chromosomal region	107	38	18.73	4.3e-06
GO:0032993	protein-DNA complex	62	26	10.85	4.7e-06
GO:0000796	condensin complex	7	7	1.23	4.9e-06
GO:0005658	alpha DNA polymerase:primase complex	7	7	1.23	4.9e-06
GO:0072686	mitotic spindle	32	16	5.6	2.4e-05
GO:0051233	spindle midzone	21	12	3.68	4.7e-05
GO:0030894	replisome	16	10	2.8	7.3e-05
GO:0005876	spindle microtubule	19	11	3.33	8.4e-05
GO:0043601	nuclear replisome	14	9	2.45	0.00013
GO:0031298	replication fork protection complex	17	10	2.98	0.00015
GO:0000322	storage vacuole	102	33	17.86	0.00016
GO:0000324	fungal-type vacuole	102	33	17.86	0.00016
GO:0000799	nuclear condensin complex	5	5	0.88	0.00016
GO:0001740	Barr body	5	5	0.88	0.00016
GO:0042555	MCM complex	7	6	1.23	0.00017
GO:0015630	microtubule cytoskeleton	237	63	41.49	0.00019
GO:0000776	kinetochore	37	16	6.48	0.00022
GO:0000323	lytic vacuole	182	50	31.86	0.00038
GO:0005813	centrosome	124	37	21.71	0.00040
GO:0005815	microtubule organizing center	152	43	26.61	0.00050
GO:0005721	pericentric heterochromatin	19	10	3.33	0.00051
GO:0044732	mitotic spindle pole body	8	6	1.4	0.00057
GO:0000805	X chromosome	6	5	1.05	0.00083
GO:0072687	meiotic spindle	6	5	1.05	0.00083
GO:0000347	THO complex	4	4	0.7	0.00093
GO:0000922	spindle pole	24	11	4.2	0.00119
