GO.ID	Term	Annotated	Significant	Expected	classic
GO:0031597	cytosolic proteasome complex	30	9	1.01	3.2e-07
GO:0000502	proteasome complex	59	12	1.99	3.6e-07
GO:1905369	endopeptidase complex	59	12	1.99	3.6e-07
GO:0034515	proteasome storage granule	25	8	0.84	8.8e-07
GO:1905368	peptidase complex	67	12	2.26	1.5e-06
GO:0005839	proteasome core complex	22	5	0.74	0.00067
GO:0005838	proteasome regulatory particle	14	4	0.47	0.00095
GO:0022624	proteasome accessory complex	14	4	0.47	0.00095
GO:0016507	mitochondrial fatty acid beta-oxidation ...	2	2	0.07	0.00113
GO:0017133	mitochondrial electron transfer flavopro...	2	2	0.07	0.00113
GO:0036125	fatty acid beta-oxidation multienzyme co...	2	2	0.07	0.00113
GO:0045251	electron transfer flavoprotein complex	2	2	0.07	0.00113
GO:0005759	mitochondrial matrix	174	14	5.87	0.00183
GO:0008540	proteasome regulatory particle, base sub...	8	3	0.27	0.00185
GO:0000793	condensed chromosome	72	8	2.43	0.00259
GO:1990023	mitotic spindle midzone	10	3	0.34	0.00378
GO:0005576	extracellular region	188	14	6.35	0.00378
GO:0008622	epsilon DNA polymerase complex	4	2	0.14	0.00648
GO:0035861	site of double-strand break	36	5	1.22	0.00655
GO:0090734	site of DNA damage	36	5	1.22	0.00655
GO:1904813	ficolin-1-rich granule lumen	25	4	0.84	0.00900
GO:0031974	membrane-enclosed lumen	1233	54	41.63	0.00944
GO:0043233	organelle lumen	1233	54	41.63	0.00944
GO:0070013	intracellular organelle lumen	1233	54	41.63	0.00944
GO:0000786	nucleosome	14	3	0.47	0.01039
GO:0001740	Barr body	5	2	0.17	0.01057
GO:0005811	lipid droplet	42	5	1.42	0.01259
GO:0034774	secretory granule lumen	42	5	1.42	0.01259
GO:0043204	perikaryon	15	3	0.51	0.01267
GO:1990730	VCP-NSFL1C complex	16	3	0.54	0.01522
GO:0000805	X chromosome	6	2	0.2	0.01550
GO:0031983	vesicle lumen	45	5	1.52	0.01669
GO:0060205	cytoplasmic vesicle lumen	45	5	1.52	0.01669
GO:0036513	Derlin-1 retrotranslocation complex	17	3	0.57	0.01803
GO:0072686	mitotic spindle	31	4	1.05	0.01917
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	18	3	0.61	0.02111
GO:1990391	DNA repair complex	32	4	1.08	0.02135
GO:0043025	neuronal cell body	103	8	3.48	0.02166
GO:0101002	ficolin-1-rich granule	33	4	1.11	0.02368
GO:0042645	mitochondrial nucleoid	19	3	0.64	0.02447
GO:0036477	somatodendritic compartment	126	9	4.25	0.02492
GO:0048046	apoplast	50	5	1.69	0.02535
GO:0030141	secretory granule	87	7	2.94	0.02615
GO:0000794	condensed nuclear chromosome	51	5	1.72	0.02737
GO:0019773	proteasome core complex, alpha-subunit c...	8	2	0.27	0.02769
GO:0042575	DNA polymerase complex	8	2	0.27	0.02769
GO:0044815	DNA packaging complex	21	3	0.71	0.03199
GO:0051233	spindle midzone	21	3	0.71	0.03199
GO:0030870	Mre11 complex	1	1	0.03	0.03376
GO:0031045	dense core granule	1	1	0.03	0.03376
GO:0032807	DNA ligase IV complex	1	1	0.03	0.03376
GO:0042583	chromaffin granule	1	1	0.03	0.03376
GO:0044284	mitochondrial crista junction	1	1	0.03	0.03376
GO:0060200	clathrin-sculpted acetylcholine transpor...	1	1	0.03	0.03376
GO:0060201	clathrin-sculpted acetylcholine transpor...	1	1	0.03	0.03376
GO:0060473	cortical granule	1	1	0.03	0.03376
GO:0061617	MICOS complex	1	1	0.03	0.03376
GO:0070081	clathrin-sculpted monoamine transport ve...	1	1	0.03	0.03376
GO:0070083	clathrin-sculpted monoamine transport ve...	1	1	0.03	0.03376
GO:0070090	metaphase plate	1	1	0.03	0.03376
GO:0070912	Ddb1-Ckn1 complex	1	1	0.03	0.03376
GO:0001739	sex chromatin	9	2	0.3	0.03483
GO:0044297	cell body	116	8	3.92	0.04038
GO:0099503	secretory vesicle	116	8	3.92	0.04038
GO:0035578	azurophil granule lumen	10	2	0.34	0.04259
GO:0030496	midbody	25	3	0.84	0.05022
GO:0045169	fusome	11	2	0.37	0.05093
GO:0005739	mitochondrion	670	30	22.62	0.05274
GO:0044429	mitochondrial part	361	18	12.19	0.05584
GO:0000803	sex chromosome	12	2	0.41	0.05979
GO:0019774	proteasome core complex, beta-subunit co...	12	2	0.41	0.05979
GO:0044445	cytosolic part	173	10	5.84	0.06461
GO:0000942	condensed nuclear chromosome outer kinet...	2	1	0.07	0.06640
GO:0005958	DNA-dependent protein kinase-DNA ligase ...	2	1	0.07	0.06640
GO:0009330	DNA topoisomerase complex (ATP-hydrolyzi...	2	1	0.07	0.06640
GO:0009514	glyoxysome	2	1	0.07	0.06640
GO:0060076	excitatory synapse	2	1	0.07	0.06640
GO:0060198	clathrin-sculpted vesicle	2	1	0.07	0.06640
GO:0071203	WASH complex	2	1	0.07	0.06640
