GO.ID	Term	Annotated	Significant	Expected	classic
GO:0005507	copper ion binding	37	10	2.08	2.2e-05
GO:0016491	oxidoreductase activity	319	33	17.93	0.00027
GO:0008519	ammonium transmembrane transporter activ...	12	5	0.67	0.00030
GO:0016874	ligase activity	93	14	5.23	0.00055
GO:0015398	high-affinity secondary active ammonium ...	8	4	0.45	0.00056
GO:0016168	chlorophyll binding	4	3	0.22	0.00067
GO:0031409	pigment binding	4	3	0.22	0.00067
GO:0043621	protein self-association	21	6	1.18	0.00077
GO:0046914	transition metal ion binding	215	23	12.09	0.00165
GO:0004332	fructose-bisphosphate aldolase activity	6	3	0.34	0.00308
GO:0003941	L-serine ammonia-lyase activity	2	2	0.11	0.00314
GO:0004148	dihydrolipoyl dehydrogenase activity	2	2	0.11	0.00314
GO:0004774	succinate-CoA ligase activity	2	2	0.11	0.00314
GO:0004775	succinate-CoA ligase (ADP-forming) activ...	2	2	0.11	0.00314
GO:0004807	triose-phosphate isomerase activity	2	2	0.11	0.00314
GO:0004830	tryptophan-tRNA ligase activity	2	2	0.11	0.00314
GO:0016040	glutamate synthase (NADH) activity	2	2	0.11	0.00314
GO:0016631	enoyl-[acyl-carrier-protein] reductase a...	2	2	0.11	0.00314
GO:0045181	glutamate synthase activity, NAD(P)H as ...	2	2	0.11	0.00314
GO:0016878	acid-thiol ligase activity	12	4	0.67	0.00334
GO:0016627	oxidoreductase activity, acting on the C...	37	7	2.08	0.00384
GO:0048037	cofactor binding	165	18	9.27	0.00435
GO:0016853	isomerase activity	103	13	5.79	0.00441
GO:0046872	metal ion binding	302	28	16.98	0.00450
GO:0016861	intramolecular oxidoreductase activity, ...	13	4	0.73	0.00462
GO:0016635	oxidoreductase activity, acting on the C...	7	3	0.39	0.00516
GO:0046906	tetrapyrrole binding	39	7	2.19	0.00521
GO:0043169	cation binding	322	29	18.1	0.00584
GO:0016860	intramolecular oxidoreductase activity	32	6	1.8	0.00770
GO:0015204	urea transmembrane transporter activity	3	2	0.17	0.00908
GO:0015930	glutamate synthase activity	3	2	0.17	0.00908
GO:0016829	lyase activity	101	12	5.68	0.00996
GO:0016638	oxidoreductase activity, acting on the C...	10	3	0.56	0.01562
GO:0016840	carbon-nitrogen lyase activity	10	3	0.56	0.01562
GO:0000104	succinate dehydrogenase activity	4	2	0.22	0.01748
GO:0004337	geranyltranstransferase activity	4	2	0.22	0.01748
GO:0008177	succinate dehydrogenase (ubiquinone) act...	4	2	0.22	0.01748
GO:0019842	vitamin binding	28	5	1.57	0.01810
GO:0005518	collagen binding	19	4	1.07	0.01921
GO:0016832	aldehyde-lyase activity	12	3	0.67	0.02635
GO:0004812	aminoacyl-tRNA ligase activity	31	5	1.74	0.02733
GO:0016875	ligase activity, forming carbon-oxygen b...	31	5	1.74	0.02733
GO:0003987	acetate-CoA ligase activity	5	2	0.28	0.02807
GO:0004130	cytochrome-c peroxidase activity	5	2	0.28	0.02807
GO:0004584	dolichyl-phosphate-mannose-glycolipid al...	5	2	0.28	0.02807
GO:0016639	oxidoreductase activity, acting on the C...	5	2	0.28	0.02807
GO:0016667	oxidoreductase activity, acting on a sul...	44	6	2.47	0.03441
GO:0016877	ligase activity, forming carbon-sulfur b...	23	4	1.29	0.03688
GO:0016830	carbon-carbon lyase activity	34	5	1.91	0.03911
