GO.ID	Term	Annotated	Significant	Expected	classic
GO:0006261	DNA-dependent DNA replication	106	39	9.2	2.9e-16
GO:0006260	DNA replication	143	45	12.41	1.2e-15
GO:1903046	meiotic cell cycle process	157	45	13.62	5.9e-14
GO:1903047	mitotic cell cycle process	353	73	30.63	6.5e-14
GO:0022402	cell cycle process	478	88	41.48	1.2e-13
GO:0000278	mitotic cell cycle	384	76	33.32	2.0e-13
GO:0007049	cell cycle	533	92	46.25	1.6e-12
GO:0051321	meiotic cell cycle	182	46	15.79	4.6e-12
GO:0044786	cell cycle DNA replication	71	27	6.16	6.1e-12
GO:0006270	DNA replication initiation	34	18	2.95	2.9e-11
GO:0140013	meiotic nuclear division	128	36	11.11	4.6e-11
GO:0000280	nuclear division	252	54	21.87	5.9e-11
GO:0140014	mitotic nuclear division	177	43	15.36	1.0e-10
GO:0006271	DNA strand elongation involved in DNA re...	33	17	2.86	1.9e-10
GO:0048285	organelle fission	268	55	23.26	2.2e-10
GO:0098813	nuclear chromosome segregation	190	44	16.49	3.3e-10
GO:0051276	chromosome organization	477	80	41.39	3.9e-10
GO:0007127	meiosis I	78	26	6.77	4.7e-10
GO:0022616	DNA strand elongation	35	17	3.04	6.2e-10
GO:1902969	mitotic DNA replication	35	17	3.04	6.2e-10
GO:0061982	meiosis I cell cycle process	96	29	8.33	6.4e-10
GO:0033260	nuclear DNA replication	44	19	3.82	7.3e-10
GO:0000070	mitotic sister chromatid segregation	139	35	12.06	2.5e-09
GO:0006269	DNA replication, synthesis of RNA primer	8	8	0.69	2.9e-09
GO:0007059	chromosome segregation	208	44	18.05	7.2e-09
GO:0006259	DNA metabolic process	441	72	38.27	1.4e-08
GO:0000819	sister chromatid segregation	162	37	14.06	1.5e-08
GO:1902295	synthesis of RNA primer involved in cell...	7	7	0.61	3.5e-08
GO:1902318	synthesis of RNA primer involved in nucl...	7	7	0.61	3.5e-08
GO:1902981	synthesis of RNA primer involved in mito...	7	7	0.61	3.5e-08
GO:0090329	regulation of DNA-dependent DNA replicat...	39	16	3.38	4.2e-08
GO:0043570	maintenance of DNA repeat elements	15	10	1.3	4.2e-08
GO:0045132	meiotic chromosome segregation	61	20	5.29	7.3e-08
GO:0006275	regulation of DNA replication	63	20	5.47	1.3e-07
GO:0006273	lagging strand elongation	17	10	1.48	2.3e-07
GO:0051315	attachment of mitotic spindle microtubul...	8	7	0.69	2.6e-07
GO:0007062	sister chromatid cohesion	49	17	4.25	2.9e-07
GO:1902975	mitotic DNA replication initiation	14	9	1.21	3.4e-07
GO:0006310	DNA recombination	138	31	11.98	3.7e-07
GO:0006099	tricarboxylic acid cycle	11	8	0.95	3.8e-07
GO:0006101	citrate metabolic process	11	8	0.95	3.8e-07
GO:0070058	tRNA gene clustering	6	6	0.52	4.1e-07
GO:0044770	cell cycle phase transition	214	41	18.57	4.6e-07
GO:0007052	mitotic spindle organization	51	17	4.43	5.5e-07
GO:1902292	cell cycle DNA replication initiation	15	9	1.3	7.8e-07
GO:1902315	nuclear cell cycle DNA replication initi...	15	9	1.3	7.8e-07
GO:0000727	double-strand break repair via break-ind...	12	8	1.04	1.1e-06
GO:1902850	microtubule cytoskeleton organization in...	66	19	5.73	1.5e-06
GO:0007051	spindle organization	80	21	6.94	2.2e-06
GO:0090307	mitotic spindle assembly	35	13	3.04	3.1e-06
GO:0007020	microtubule nucleation	10	7	0.87	3.3e-06
GO:0006974	cellular response to DNA damage stimulus	358	56	31.07	3.6e-06
GO:0007064	mitotic sister chromatid cohesion	26	11	2.26	4.1e-06
GO:0045005	DNA-dependent DNA replication maintenanc...	26	11	2.26	4.1e-06
GO:0044772	mitotic cell cycle phase transition	201	37	17.44	4.9e-06
GO:0007143	female meiotic nuclear division	22	10	1.91	5.2e-06
GO:0090662	ATP hydrolysis coupled transmembrane tra...	37	13	3.21	6.4e-06
GO:0099131	ATP hydrolysis coupled ion transmembrane...	37	13	3.21	6.4e-06
GO:0099132	ATP hydrolysis coupled cation transmembr...	37	13	3.21	6.4e-06
GO:0045143	homologous chromosome segregation	27	11	2.34	6.4e-06
GO:0051225	spindle assembly	48	15	4.17	6.5e-06
GO:0006281	DNA repair	278	46	24.12	6.7e-06
GO:0030261	chromosome condensation	32	12	2.78	6.7e-06
GO:0042023	DNA endoreduplication	28	11	2.43	9.8e-06
GO:0051307	meiotic chromosome separation	28	11	2.43	9.8e-06
GO:0071103	DNA conformation change	131	27	11.37	1.2e-05
GO:0051310	metaphase plate congression	29	11	2.52	1.5e-05
GO:0032201	telomere maintenance via semi-conservati...	16	8	1.39	2.0e-05
GO:0140115	export across plasma membrane	6	5	0.52	2.7e-05
GO:0009211	pyrimidine deoxyribonucleoside triphosph...	9	6	0.78	2.7e-05
GO:0010032	meiotic chromosome condensation	9	6	0.78	2.7e-05
GO:0007080	mitotic metaphase plate congression	26	10	2.26	3.1e-05
GO:0006302	double-strand break repair	130	26	11.28	3.2e-05
GO:0072350	tricarboxylic acid metabolic process	17	8	1.48	3.5e-05
GO:0010564	regulation of cell cycle process	253	41	21.95	3.8e-05
GO:0051303	establishment of chromosome localization	32	11	2.78	4.3e-05
GO:0070192	chromosome organization involved in meio...	44	13	3.82	5.3e-05
GO:0009768	photosynthesis, light harvesting in phot...	4	4	0.35	5.6e-05
GO:0006268	DNA unwinding involved in DNA replicatio...	10	6	0.87	6.3e-05
GO:0010948	negative regulation of cell cycle proces...	129	25	11.19	7.9e-05
GO:0016321	female meiosis chromosome segregation	7	5	0.61	8.6e-05
GO:0051445	regulation of meiotic cell cycle	40	12	3.47	8.8e-05
GO:0006323	DNA packaging	87	19	7.55	0.00011
GO:0046785	microtubule polymerization	15	7	1.3	0.00012
GO:0045786	negative regulation of cell cycle	183	31	15.88	0.00016
GO:0090558	plant epidermis development	31	10	2.69	0.00018
GO:0051985	negative regulation of chromosome segreg...	37	11	3.21	0.00019
GO:0007135	meiosis II	16	7	1.39	0.00020
GO:0008608	attachment of spindle microtubules to ki...	16	7	1.39	0.00020
GO:1902600	proton transmembrane transport	56	14	4.86	0.00020
GO:0006267	pre-replicative complex assembly involve...	8	5	0.69	0.00021
GO:0036388	pre-replicative complex assembly	8	5	0.69	0.00021
GO:0070193	synaptonemal complex organization	8	5	0.69	0.00021
GO:1902299	pre-replicative complex assembly involve...	8	5	0.69	0.00021
GO:0031109	microtubule polymerization or depolymeri...	21	8	1.82	0.00022
GO:0000724	double-strand break repair via homologou...	84	18	7.29	0.00022
GO:0000725	recombinational repair	84	18	7.29	0.00022
GO:0007140	male meiotic nuclear division	50	13	4.34	0.00023
GO:0050000	chromosome localization	38	11	3.3	0.00025
GO:0000012	single strand break repair	5	4	0.43	0.00026
GO:0035753	maintenance of DNA trinucleotide repeats	5	4	0.43	0.00026
GO:1902440	protein localization to mitotic spindle ...	5	4	0.43	0.00026
GO:0051052	regulation of DNA metabolic process	156	27	13.54	0.00030
GO:0007076	mitotic chromosome condensation	17	7	1.48	0.00031
GO:0051447	negative regulation of meiotic cell cycl...	17	7	1.48	0.00031
GO:0007093	mitotic cell cycle checkpoint	72	16	6.25	0.00032
GO:1901987	regulation of cell cycle phase transitio...	174	29	15.1	0.00035
GO:0015672	monovalent inorganic cation transport	80	17	6.94	0.00037
GO:0006996	organelle organization	1141	126	99.01	0.00037
GO:0044843	cell cycle G1/S phase transition	95	19	8.24	0.00038
GO:0009221	pyrimidine deoxyribonucleotide biosynthe...	13	6	1.13	0.00041
GO:0002637	regulation of immunoglobulin production	9	5	0.78	0.00045
GO:0002639	positive regulation of immunoglobulin pr...	9	5	0.78	0.00045
GO:0000075	cell cycle checkpoint	89	18	7.72	0.00047
GO:0015991	ATP hydrolysis coupled proton transport	18	7	1.56	0.00047
GO:0030641	regulation of cellular pH	29	9	2.52	0.00052
GO:0006298	mismatch repair	35	10	3.04	0.00053
GO:0006796	phosphate-containing compound metabolic ...	746	88	64.73	0.00056
GO:0000082	G1/S transition of mitotic cell cycle	91	18	7.9	0.00062
GO:0006287	base-excision repair, gap-filling	3	3	0.26	0.00065
GO:0007147	female meiosis II	3	3	0.26	0.00065
GO:0009645	response to low light intensity stimulus	3	3	0.26	0.00065
GO:0010444	guard mother cell differentiation	3	3	0.26	0.00065
GO:0070550	rDNA condensation	3	3	0.26	0.00065
GO:1902363	regulation of protein localization to sp...	3	3	0.26	0.00065
GO:1902542	regulation of protein localization to mi...	3	3	0.26	0.00065
GO:1903341	regulation of meiotic DNA double-strand ...	3	3	0.26	0.00065
GO:1903342	negative regulation of meiotic DNA doubl...	3	3	0.26	0.00065
GO:0006885	regulation of pH	30	9	2.6	0.00069
GO:0051783	regulation of nuclear division	123	22	10.67	0.00069
GO:0051726	regulation of cell cycle	334	46	28.98	0.00070
GO:0006105	succinate metabolic process	6	4	0.52	0.00072
GO:0007130	synaptonemal complex assembly	6	4	0.52	0.00072
GO:0010218	response to far red light	6	4	0.52	0.00072
GO:0030174	regulation of DNA-dependent DNA replicat...	6	4	0.52	0.00072
GO:0042138	meiotic DNA double-strand break formatio...	6	4	0.52	0.00072
GO:0051095	regulation of helicase activity	6	4	0.52	0.00072
GO:0071988	protein localization to spindle pole bod...	6	4	0.52	0.00072
GO:1902749	regulation of cell cycle G2/M phase tran...	63	14	5.47	0.00075
