GO.ID	Term	Annotated	Significant	Expected	classic
GO:0005694	chromosome	354	79	30.18	1.3e-17
GO:0044427	chromosomal part	298	68	25.41	1.3e-15
GO:0044454	nuclear chromosome part	209	55	17.82	1.7e-15
GO:0000228	nuclear chromosome	239	59	20.38	3.4e-15
GO:0043596	nuclear replication fork	50	24	4.26	1.4e-13
GO:0005657	replication fork	57	25	4.86	5.6e-13
GO:0000790	nuclear chromatin	168	42	14.32	3.7e-11
GO:0000785	chromatin	205	47	17.48	5.9e-11
GO:0000793	condensed chromosome	72	24	6.14	1.6e-09
GO:0000775	chromosome, centromeric region	68	23	5.8	2.6e-09
GO:0000796	condensin complex	7	7	0.6	3.1e-08
GO:0005658	alpha DNA polymerase:primase complex	7	7	0.6	3.1e-08
GO:0098687	chromosomal region	105	27	8.95	8.2e-08
GO:0030894	replisome	16	10	1.36	8.8e-08
GO:0043601	nuclear replisome	14	9	1.19	2.9e-07
GO:0032993	protein-DNA complex	62	19	5.29	4.0e-07
GO:0000776	kinetochore	36	14	3.07	5.4e-07
GO:0005819	spindle	75	20	6.39	2.3e-06
GO:0000794	condensed nuclear chromosome	51	16	4.35	2.4e-06
GO:0044815	DNA packaging complex	21	10	1.79	2.6e-06
GO:0031298	replication fork protection complex	17	9	1.45	2.8e-06
GO:0000799	nuclear condensin complex	5	5	0.43	4.4e-06
GO:0044732	mitotic spindle pole body	8	6	0.68	8.8e-06
GO:0005816	spindle pole body	19	9	1.62	9.1e-06
GO:0005876	spindle microtubule	19	9	1.62	9.1e-06
GO:0015630	microtubule cytoskeleton	236	38	20.12	6.0e-05
GO:0042555	MCM complex	7	5	0.6	7.9e-05
GO:0000922	spindle pole	24	9	2.05	8.7e-05
GO:0005815	microtubule organizing center	151	27	12.87	0.00013
GO:0005856	cytoskeleton	299	44	25.49	0.00014
GO:0000777	condensed chromosome kinetochore	16	7	1.36	0.00018
GO:0051233	spindle midzone	21	8	1.79	0.00019
GO:0005656	nuclear pre-replicative complex	8	5	0.68	0.00020
GO:0005818	aster	8	5	0.68	0.00020
GO:0036387	pre-replicative complex	8	5	0.68	0.00020
GO:0071162	CMG complex	8	5	0.68	0.00020
GO:0000778	condensed nuclear chromosome kinetochore	12	6	1.02	0.00022
GO:0031261	DNA replication preinitiation complex	12	6	1.02	0.00022
GO:0005813	centrosome	124	23	10.57	0.00023
GO:0005828	kinetochore microtubule	5	4	0.43	0.00024
GO:0000779	condensed chromosome, centromeric region	22	8	1.88	0.00028
GO:0044430	cytoskeletal part	266	39	22.68	0.00038
GO:0010369	chromocenter	9	5	0.77	0.00041
GO:0032300	mismatch repair complex	9	5	0.77	0.00041
GO:0000780	condensed nuclear chromosome, centromeri...	18	7	1.53	0.00043
GO:0043228	non-membrane-bounded organelle	1107	120	94.39	0.00061
GO:0043232	intracellular non-membrane-bounded organ...	1107	120	94.39	0.00061
GO:0005871	kinesin complex	14	6	1.19	0.00061
GO:0055028	cortical microtubule	3	3	0.26	0.00061
GO:0097373	MCM core complex	3	3	0.26	0.00061
GO:0030981	cortical microtubule cytoskeleton	6	4	0.51	0.00068
GO:0072687	meiotic spindle	6	4	0.51	0.00068
GO:0030496	midbody	25	8	2.13	0.00076
GO:0000235	astral microtubule	4	3	0.34	0.00230
GO:0000347	THO complex	4	3	0.34	0.00230
GO:0005749	mitochondrial respiratory chain complex ...	4	3	0.34	0.00230
