GO.ID	Term	Annotated	Significant	Expected	classic
GO:0016168	chlorophyll binding	7	7	0.65	5.7e-08
GO:0003896	DNA primase activity	6	6	0.56	6.2e-07
GO:0003682	chromatin binding	123	29	11.46	1.3e-06
GO:0003677	DNA binding	287	51	26.74	1.7e-06
GO:0003688	DNA replication origin binding	11	7	1.02	1.3e-05
GO:0032135	DNA insertion or deletion binding	8	6	0.75	1.5e-05
GO:0003697	single-stranded DNA binding	61	17	5.68	2.3e-05
GO:1990939	ATP-dependent microtubule motor activity	12	7	1.12	3.0e-05
GO:0019829	cation-transporting ATPase activity	40	13	3.73	3.6e-05
GO:0022853	active ion transmembrane transporter act...	40	13	3.73	3.6e-05
GO:0042625	ATPase coupled ion transmembrane transpo...	40	13	3.73	3.6e-05
GO:0032138	single base insertion or deletion bindin...	6	5	0.56	3.8e-05
GO:0042623	ATPase activity, coupled	240	41	22.36	5.5e-05
GO:0031409	pigment binding	4	4	0.37	7.4e-05
GO:0003690	double-stranded DNA binding	123	25	11.46	0.00011
GO:0042626	ATPase activity, coupled to transmembran...	58	15	5.4	0.00018
GO:0008574	ATP-dependent microtubule motor activity...	11	6	1.02	0.00019
GO:0003887	DNA-directed DNA polymerase activity	20	8	1.86	0.00024
GO:0015077	monovalent inorganic cation transmembran...	60	15	5.59	0.00027
GO:0043492	ATPase activity, coupled to movement of ...	60	15	5.59	0.00027
GO:0015078	proton transmembrane transporter activit...	48	13	4.47	0.00029
GO:0032137	guanine/thymine mispair binding	5	4	0.47	0.00034
GO:0036442	proton-exporting ATPase activity	21	8	1.96	0.00036
GO:0000217	DNA secondary structure binding	17	7	1.58	0.00049
GO:0034061	DNA polymerase activity	22	8	2.05	0.00051
GO:0015662	ATPase activity, coupled to transmembran...	23	8	2.14	0.00073
GO:0008556	potassium-transporting ATPase activity	3	3	0.28	0.00080
GO:0003774	motor activity	29	9	2.7	0.00087
GO:0000403	Y-form DNA binding	6	4	0.56	0.00095
GO:0003777	microtubule motor activity	19	7	1.77	0.00107
GO:0015399	primary active transmembrane transporter...	75	16	6.99	0.00113
GO:0015405	P-P-bond-hydrolysis-driven transmembrane...	75	16	6.99	0.00113
GO:0043565	sequence-specific DNA binding	113	21	10.53	0.00136
GO:0005516	calmodulin binding	31	9	2.89	0.00149
GO:0030983	mismatched DNA binding	15	6	1.4	0.00150
GO:0016887	ATPase activity	299	43	27.85	0.00181
GO:1990239	steroid hormone binding	7	4	0.65	0.00206
GO:0046983	protein dimerization activity	208	32	19.38	0.00245
GO:1990837	sequence-specific double-stranded DNA bi...	74	15	6.89	0.00274
GO:0046982	protein heterodimerization activity	53	12	4.94	0.00275
GO:0000104	succinate dehydrogenase activity	4	3	0.37	0.00298
GO:0000406	double-strand/single-strand DNA junction...	4	3	0.37	0.00298
GO:0004337	geranyltranstransferase activity	4	3	0.37	0.00298
GO:0008177	succinate dehydrogenase (ubiquinone) act...	4	3	0.37	0.00298
GO:0005200	structural constituent of cytoskeleton	12	5	1.12	0.00310
GO:0046961	proton-transporting ATPase activity, rot...	17	6	1.58	0.00317
GO:0022804	active transmembrane transporter activit...	121	21	11.27	0.00328
GO:0035251	UDP-glucosyltransferase activity	13	5	1.21	0.00466
GO:0005524	ATP binding	235	34	21.89	0.00505
GO:0016772	transferase activity, transferring phosp...	298	41	27.76	0.00533
GO:0032559	adenyl ribonucleotide binding	246	35	22.92	0.00586
GO:0030554	adenyl nucleotide binding	247	35	23.01	0.00626
GO:0035252	UDP-xylosyltransferase activity	9	4	0.84	0.00637
GO:0042285	xylosyltransferase activity	9	4	0.84	0.00637
GO:0140097	catalytic activity, acting on DNA	120	20	11.18	0.00653
GO:0008094	DNA-dependent ATPase activity	59	12	5.5	0.00693
GO:0000404	heteroduplex DNA loop binding	5	3	0.47	0.00694
GO:0004748	ribonucleoside-diphosphate reductase act...	5	3	0.47	0.00694
GO:0008301	DNA binding, bending	5	3	0.47	0.00694
GO:0016728	oxidoreductase activity, acting on CH or...	5	3	0.47	0.00694
GO:0051063	CDP reductase activity	5	3	0.47	0.00694
GO:0061731	ribonucleoside-diphosphate reductase act...	5	3	0.47	0.00694
GO:0019901	protein kinase binding	89	16	8.29	0.00697
GO:0008144	drug binding	295	40	27.48	0.00762
GO:0044769	ATPase activity, coupled to transmembran...	26	7	2.42	0.00787
GO:0008324	cation transmembrane transporter activit...	114	19	10.62	0.00795
GO:0003680	AT DNA binding	2	2	0.19	0.00865
GO:0003909	DNA ligase activity	2	2	0.19	0.00865
GO:0003910	DNA ligase (ATP) activity	2	2	0.19	0.00865
GO:0003999	adenine phosphoribosyltransferase activi...	2	2	0.19	0.00865
GO:0004170	dUTP diphosphatase activity	2	2	0.19	0.00865
GO:0004774	succinate-CoA ligase activity	2	2	0.19	0.00865
GO:0004775	succinate-CoA ligase (ADP-forming) activ...	2	2	0.19	0.00865
GO:0005391	sodium:potassium-exchanging ATPase activ...	2	2	0.19	0.00865
GO:0008900	potassium:proton exchanging ATPase activ...	2	2	0.19	0.00865
GO:0016040	glutamate synthase (NADH) activity	2	2	0.19	0.00865
GO:0019103	pyrimidine nucleotide binding	2	2	0.19	0.00865
GO:0031748	D1 dopamine receptor binding	2	2	0.19	0.00865
GO:0034246	mitochondrial sequence-specific DNA-bind...	2	2	0.19	0.00865
GO:0035870	dITP diphosphatase activity	2	2	0.19	0.00865
GO:0043395	heparan sulfate proteoglycan binding	2	2	0.19	0.00865
GO:0045181	glutamate synthase activity, NAD(P)H as ...	2	2	0.19	0.00865
GO:0050780	dopamine receptor binding	2	2	0.19	0.00865
GO:0051010	microtubule plus-end binding	2	2	0.19	0.00865
GO:0086037	sodium:potassium-exchanging ATPase activ...	2	2	0.19	0.00865
GO:0106130	purine phosphoribosyltransferase activit...	2	2	0.19	0.00865
GO:1901691	proton binding	2	2	0.19	0.00865
GO:0003824	catalytic activity	1978	203	184.27	0.00912
GO:0008553	proton-exporting ATPase activity, phosph...	15	5	1.4	0.00930
GO:0022890	inorganic cation transmembrane transport...	92	16	8.57	0.00962
GO:0016638	oxidoreductase activity, acting on the C...	10	4	0.93	0.00985
GO:0016725	oxidoreductase activity, acting on CH or...	10	4	0.93	0.00985
GO:0019900	kinase binding	101	17	9.41	0.01070
GO:0017111	nucleoside-triphosphatase activity	367	47	34.19	0.01138
GO:0046527	glucosyltransferase activity	16	5	1.49	0.01251
GO:0030955	potassium ion binding	6	3	0.56	0.01293
GO:0045156	electron transporter, transferring elect...	6	3	0.56	0.01293
GO:0015079	potassium ion transmembrane transporter ...	11	4	1.02	0.01436
GO:0015081	sodium ion transmembrane transporter act...	11	4	1.02	0.01436
GO:0046906	tetrapyrrole binding	50	10	4.66	0.01490
GO:0036094	small molecule binding	449	55	41.83	0.01515
GO:0043168	anion binding	450	55	41.92	0.01582
GO:0016877	ligase activity, forming carbon-sulfur b...	23	6	2.14	0.01603
GO:0016831	carboxy-lyase activity	17	5	1.58	0.01641
GO:0016462	pyrophosphatase activity	397	49	36.98	0.01914
GO:0016818	hydrolase activity, acting on acid anhyd...	397	49	36.98	0.01914
GO:0016878	acid-thiol ligase activity	12	4	1.12	0.01999
GO:0016817	hydrolase activity, acting on acid anhyd...	398	49	37.08	0.02000
GO:0008194	UDP-glycosyltransferase activity	31	7	2.89	0.02103
GO:0016635	oxidoreductase activity, acting on the C...	7	3	0.65	0.02108
GO:0001018	mitochondrial promoter sequence-specific...	3	2	0.28	0.02435
GO:0010997	anaphase-promoting complex binding	3	2	0.28	0.02435
GO:0015930	glutamate synthase activity	3	2	0.28	0.02435
GO:0016813	hydrolase activity, acting on carbon-nit...	3	2	0.28	0.02435
GO:0043008	ATP-dependent protein binding	3	2	0.28	0.02435
GO:0043394	proteoglycan binding	3	2	0.28	0.02435
GO:0042562	hormone binding	13	4	1.21	0.02680
GO:0031420	alkali metal ion binding	8	3	0.75	0.03145
GO:0047372	acylglycerol lipase activity	8	3	0.75	0.03145
GO:0016301	kinase activity	221	29	20.59	0.03296
GO:0008017	microtubule binding	34	7	3.17	0.03384
GO:0004683	calmodulin-dependent protein kinase acti...	14	4	1.3	0.03484
GO:0005496	steroid binding	14	4	1.3	0.03484
GO:0015616	DNA translocase activity	14	4	1.3	0.03484
GO:0017076	purine nucleotide binding	307	38	28.6	0.03635
GO:0016830	carbon-carbon lyase activity	35	7	3.26	0.03905
GO:0016763	transferase activity, transferring pento...	28	6	2.61	0.04035
GO:0035639	purine ribonucleoside triphosphate bindi...	291	36	27.11	0.04144
GO:0019887	protein kinase regulator activity	43	8	4.01	0.04173
GO:0016773	phosphotransferase activity, alcohol gro...	198	26	18.45	0.04195
GO:0042393	histone binding	51	9	4.75	0.04299
GO:0000400	four-way junction DNA binding	9	3	0.84	0.04398
GO:1901474	azole transmembrane transporter activity	9	3	0.84	0.04398
GO:0004659	prenyltransferase activity	15	4	1.4	0.04413
GO:0035064	methylated histone binding	15	4	1.4	0.04413
GO:0140034	methylation-dependent protein binding	15	4	1.4	0.04413
GO:0000166	nucleotide binding	399	47	37.17	0.04560
GO:0004092	carnitine O-acetyltransferase activity	4	2	0.37	0.04572
GO:0016406	carnitine O-acyltransferase activity	4	2	0.37	0.04572
GO:0016886	ligase activity, forming phosphoric este...	4	2	0.37	0.04572
GO:0019948	SUMO activating enzyme activity	4	2	0.37	0.04572
GO:0030506	ankyrin binding	4	2	0.37	0.04572
GO:0031402	sodium ion binding	4	2	0.37	0.04572
GO:0044388	small protein activating enzyme binding	4	2	0.37	0.04572
GO:0032555	purine ribonucleotide binding	303	37	28.23	0.04621
GO:1901265	nucleoside phosphate binding	400	47	37.26	0.04734
GO:0015318	inorganic molecular entity transmembrane...	165	22	15.37	0.05086
GO:0032553	ribonucleotide binding	315	38	29.34	0.05118
GO:0019207	kinase regulator activity	45	8	4.19	0.05280
GO:0030246	carbohydrate binding	16	4	1.49	0.05467
GO:0001671	ATPase activator activity	10	3	0.93	0.05861
GO:1901618	organic hydroxy compound transmembrane t...	10	3	0.93	0.05861
GO:0004672	protein kinase activity	150	20	13.97	0.06088
GO:0043167	ion binding	680	74	63.35	0.06657
GO:0001540	amyloid-beta binding	5	2	0.47	0.07158
GO:0003987	acetate-CoA ligase activity	5	2	0.47	0.07158
GO:0004130	cytochrome-c peroxidase activity	5	2	0.47	0.07158
GO:0004465	lipoprotein lipase activity	5	2	0.47	0.07158
GO:0008559	xenobiotic transmembrane transporting AT...	5	2	0.47	0.07158
GO:0015244	fluconazole transmembrane transporter ac...	5	2	0.47	0.07158
GO:0016413	O-acetyltransferase activity	5	2	0.47	0.07158
GO:0016639	oxidoreductase activity, acting on the C...	5	2	0.47	0.07158
GO:0016868	intramolecular transferase activity, pho...	5	2	0.47	0.07158
