GO.ID	Term	Annotated	Significant	Expected	classic
GO:0042254	ribosome biogenesis	282	129	32.01	< 1e-30
GO:0006364	rRNA processing	204	103	23.16	< 1e-30
GO:0022613	ribonucleoprotein complex biogenesis	367	137	41.66	< 1e-30
GO:0016072	rRNA metabolic process	226	106	25.66	< 1e-30
GO:0034470	ncRNA processing	278	115	31.56	< 1e-30
GO:0034660	ncRNA metabolic process	363	130	41.21	< 1e-30
GO:0042274	ribosomal small subunit biogenesis	114	63	12.94	< 1e-30
GO:0006396	RNA processing	454	133	51.54	1.8e-30
GO:0000462	maturation of SSU-rRNA from tricistronic...	71	47	8.06	1.2e-28
GO:0002181	cytoplasmic translation	151	69	17.14	5.6e-28
GO:0030490	maturation of SSU-rRNA	83	50	9.42	1.4e-27
GO:0016070	RNA metabolic process	984	198	111.71	4.6e-23
GO:0010467	gene expression	1218	227	138.27	8.2e-23
GO:0000460	maturation of 5.8S rRNA	60	38	6.81	3.1e-22
GO:0000466	maturation of 5.8S rRNA from tricistroni...	55	34	6.24	1.7e-19
GO:0000478	endonucleolytic cleavage involved in rRN...	38	28	4.31	2.3e-19
GO:0000479	endonucleolytic cleavage of tricistronic...	36	27	4.09	4.7e-19
GO:0042273	ribosomal large subunit biogenesis	84	42	9.54	5.1e-19
GO:0034641	cellular nitrogen compound metabolic pro...	1783	281	202.41	2.0e-18
GO:0000469	cleavage involved in rRNA processing	51	31	5.79	1.5e-17
GO:0006413	translational initiation	115	48	13.05	1.6e-17
GO:0006613	cotranslational protein targeting to mem...	63	34	7.15	6.6e-17
GO:0006412	translation	373	96	42.34	7.6e-17
GO:0006614	SRP-dependent cotranslational protein ta...	61	33	6.92	1.8e-16
GO:0043043	peptide biosynthetic process	390	97	44.27	6.2e-16
GO:0006139	nucleobase-containing compound metabolic...	1433	235	162.68	2.1e-15
GO:0090304	nucleic acid metabolic process	1170	203	132.82	4.0e-15
GO:0000447	endonucleolytic cleavage in ITS1 to sepa...	28	21	3.18	4.8e-15
