GO.ID	Term	Annotated	Significant	Expected	classic
GO:0030684	preribosome	121	83	13.58	< 1e-30
GO:0005730	nucleolus	408	137	45.78	< 1e-30
GO:1990904	ribonucleoprotein complex	527	146	59.14	< 1e-30
GO:0030686	90S preribosome	61	45	6.85	< 1e-30
GO:0032040	small-subunit processome	40	31	4.49	1.2e-22
GO:0030687	preribosome, large subunit precursor	51	33	5.72	5.2e-20
GO:0042788	polysomal ribosome	50	32	5.61	3.3e-19
GO:0022626	cytosolic ribosome	140	55	15.71	9.6e-19
GO:0005844	polysome	70	37	7.86	4.4e-18
GO:0044391	ribosomal subunit	152	53	17.06	2.0e-15
GO:0005840	ribosome	207	62	23.23	2.4e-14
GO:0044445	cytosolic part	198	60	22.22	3.7e-14
GO:0043228	non-membrane-bounded organelle	1107	191	124.23	4.1e-14
GO:0043232	intracellular non-membrane-bounded organ...	1107	191	124.23	4.1e-14
GO:0022625	cytosolic large ribosomal subunit	70	32	7.86	1.9e-13
GO:0031981	nuclear lumen	1028	173	115.36	2.8e-11
GO:0044452	nucleolar part	73	30	8.19	3.2e-11
GO:0015934	large ribosomal subunit	90	32	10.1	6.0e-10
GO:0022627	cytosolic small ribosomal subunit	47	22	5.27	7.4e-10
GO:0030688	preribosome, small subunit precursor	9	9	1.01	2.6e-09
GO:0044428	nuclear part	1109	175	124.45	7.3e-09
GO:0005634	nucleus	1511	220	169.56	2.8e-08
GO:0005829	cytosol	1304	193	146.33	1.8e-07
GO:0009506	plasmodesma	128	35	14.36	2.2e-07
GO:0055044	symplast	128	35	14.36	2.2e-07
GO:0031974	membrane-enclosed lumen	1251	185	140.38	4.9e-07
GO:0043233	organelle lumen	1251	185	140.38	4.9e-07
GO:0070013	intracellular organelle lumen	1251	185	140.38	4.9e-07
GO:0015935	small ribosomal subunit	65	22	7.29	8.7e-07
GO:0005911	cell-cell junction	142	35	15.93	3.2e-06
GO:0030054	cell junction	173	39	19.41	9.1e-06
GO:0005791	rough endoplasmic reticulum	31	13	3.48	1.1e-05
GO:0030867	rough endoplasmic reticulum membrane	23	11	2.58	1.2e-05
GO:0043614	multi-eIF complex	7	6	0.79	1.2e-05
GO:0098554	cytoplasmic side of endoplasmic reticulu...	16	9	1.8	1.4e-05
GO:0098556	cytoplasmic side of rough endoplasmic re...	16	9	1.8	1.4e-05
GO:0070993	translation preinitiation complex	13	8	1.46	1.8e-05
GO:0016282	eukaryotic 43S preinitiation complex	11	7	1.23	4.7e-05
GO:0005732	small nucleolar ribonucleoprotein comple...	23	10	2.58	8.4e-05
GO:0034388	Pwp2p-containing subcomplex of 90S preri...	6	5	0.67	9.5e-05
GO:0005852	eukaryotic translation initiation factor...	11	6	1.23	0.00054
GO:0032991	protein-containing complex	1527	201	171.36	0.00076
GO:0005736	RNA polymerase I complex	12	6	1.35	0.00098
GO:0030312	external encapsulating structure	71	17	7.97	0.00166
GO:0071540	eukaryotic translation initiation factor...	6	4	0.67	0.00195
GO:0005618	cell wall	70	16	7.86	0.00375
GO:0071541	eukaryotic translation initiation factor...	7	4	0.79	0.00414
GO:0034455	t-UTP complex	4	3	0.45	0.00514
GO:0070545	PeBoW complex	4	3	0.45	0.00514
GO:0098562	cytoplasmic side of membrane	43	11	4.83	0.00634
GO:0010494	cytoplasmic stress granule	62	14	6.96	0.00732
GO:0030689	Noc complex	5	3	0.56	0.01179
GO:0031428	box C/D snoRNP complex	5	3	0.56	0.01179
GO:0030692	Noc4p-Nop14p complex	2	2	0.22	0.01256
GO:0032545	CURI complex	2	2	0.22	0.01256
GO:0034456	UTP-C complex	2	2	0.22	0.01256
GO:0005654	nucleoplasm	753	102	84.5	0.01427
GO:0001652	granular component	6	3	0.67	0.02164
GO:0016281	eukaryotic translation initiation factor...	16	5	1.8	0.02655
GO:0030173	integral component of Golgi membrane	22	6	2.47	0.03001
GO:0080008	Cul4-RING E3 ubiquitin ligase complex	28	7	3.14	0.03107
GO:0033290	eukaryotic 48S preinitiation complex	3	2	0.34	0.03488
GO:0034457	Mpp10 complex	3	2	0.34	0.03488
GO:0031228	intrinsic component of Golgi membrane	23	6	2.58	0.03689
GO:0017101	aminoacyl-tRNA synthetase multienzyme co...	8	3	0.9	0.05107
GO:0031672	A band	8	3	0.9	0.05107
GO:0017053	transcriptional repressor complex	25	6	2.81	0.05349
GO:0035770	ribonucleoprotein granule	117	19	13.13	0.05991
GO:0005784	Sec61 translocon complex	4	2	0.45	0.06462
GO:0034663	endoplasmic reticulum chaperone complex	4	2	0.45	0.06462
GO:0055087	Ski complex	4	2	0.45	0.06462
GO:0071256	translocon complex	4	2	0.45	0.06462
GO:0071261	Ssh1 translocon complex	4	2	0.45	0.06462
GO:1990111	spermatoproteasome complex	4	2	0.45	0.06462
GO:0098552	side of membrane	67	12	7.52	0.06625
GO:0044446	intracellular organelle part	2279	269	255.74	0.07013
GO:0044422	organelle part	2287	269	256.64	0.08497
GO:0036464	cytoplasmic ribonucleoprotein granule	116	18	13.02	0.09362
GO:0000418	RNA polymerase IV complex	5	2	0.56	0.09985
GO:0000419	RNA polymerase V complex	5	2	0.56	0.09985
GO:0005850	eukaryotic translation initiation factor...	5	2	0.56	0.09985
GO:0016442	RISC complex	5	2	0.56	0.09985
GO:0031332	RNAi effector complex	5	2	0.56	0.09985
GO:0033553	rDNA heterochromatin	5	2	0.56	0.09985
GO:0042585	germinal vesicle	5	2	0.56	0.09985
