GO.ID	Term	Annotated	Significant	Expected	classic
GO:0003723	RNA binding	488	134	54.33	5.5e-29
GO:0003729	mRNA binding	181	63	20.15	1.6e-18
GO:0003676	nucleic acid binding	726	145	80.82	2.8e-16
GO:0003735	structural constituent of ribosome	167	51	18.59	1.7e-12
GO:0019843	rRNA binding	58	27	6.46	7.2e-12
GO:0030515	snoRNA binding	31	19	3.45	1.9e-11
GO:1901363	heterocyclic compound binding	1072	172	119.34	5.0e-10
GO:0097159	organic cyclic compound binding	1076	172	119.78	7.0e-10
GO:0005198	structural molecule activity	211	54	23.49	7.3e-10
GO:0140098	catalytic activity, acting on RNA	242	58	26.94	2.5e-09
GO:0004004	ATP-dependent RNA helicase activity	67	23	7.46	3.0e-07
GO:0008186	RNA-dependent ATPase activity	67	23	7.46	3.0e-07
GO:0003724	RNA helicase activity	74	23	8.24	2.3e-06
GO:0008135	translation factor activity, RNA binding	71	22	7.9	4.0e-06
GO:0048027	mRNA 5'-UTR binding	9	7	1	5.9e-06
GO:0008173	RNA methyltransferase activity	27	12	3.01	1.1e-05
GO:0003743	translation initiation factor activity	42	15	4.68	2.2e-05
GO:0008097	5S rRNA binding	8	6	0.89	4.2e-05
GO:0033592	RNA strand annealing activity	6	5	0.67	9.1e-05
GO:0008026	ATP-dependent helicase activity	91	23	10.13	9.5e-05
GO:0070035	purine NTP-dependent helicase activity	91	23	10.13	9.5e-05
GO:0003725	double-stranded RNA binding	16	8	1.78	0.00013
GO:0008649	rRNA methyltransferase activity	13	7	1.45	0.00019
GO:0140102	catalytic activity, acting on a rRNA	13	7	1.45	0.00019
GO:0003924	GTPase activity	59	16	6.57	0.00048
GO:0004386	helicase activity	103	23	11.47	0.00068
GO:0016741	transferase activity, transferring one-c...	92	21	10.24	0.00085
GO:0043022	ribosome binding	40	12	4.45	0.00092
GO:0030946	protein tyrosine phosphatase activity, m...	3	3	0.33	0.00137
GO:0005525	GTP binding	60	15	6.68	0.00178
GO:0043021	ribonucleoprotein complex binding	79	18	8.79	0.00202
GO:0001883	purine nucleoside binding	62	15	6.9	0.00253
GO:0019001	guanyl nucleotide binding	62	15	6.9	0.00253
GO:0032550	purine ribonucleoside binding	62	15	6.9	0.00253
GO:0032561	guanyl ribonucleotide binding	62	15	6.9	0.00253
GO:0001882	nucleoside binding	63	15	7.01	0.00299
GO:0032549	ribonucleoside binding	63	15	7.01	0.00299
GO:0031369	translation initiation factor binding	20	7	2.23	0.00426
GO:0097617	annealing activity	11	5	1.22	0.00434
GO:0008168	methyltransferase activity	85	18	9.46	0.00472
GO:0042134	rRNA primary transcript binding	4	3	0.45	0.00502
GO:1990948	ubiquitin ligase inhibitor activity	4	3	0.45	0.00502
GO:0004812	aminoacyl-tRNA ligase activity	31	9	3.45	0.00512
GO:0016875	ligase activity, forming carbon-oxygen b...	31	9	3.45	0.00512
GO:0016884	carbon-nitrogen ligase activity, with gl...	8	4	0.89	0.00734
GO:0070181	small ribosomal subunit rRNA binding	8	4	0.89	0.00734
GO:0140101	catalytic activity, acting on a tRNA	58	13	6.46	0.00953
GO:0016835	carbon-oxygen lyase activity	29	8	3.23	0.01138
GO:0016433	rRNA (adenine) methyltransferase activit...	5	3	0.56	0.01152
GO:0055105	ubiquitin-protein transferase inhibitor ...	5	3	0.56	0.01152
GO:0004070	aspartate carbamoyltransferase activity	2	2	0.22	0.01236
GO:0004087	carbamoyl-phosphate synthase (ammonia) a...	2	2	0.22	0.01236
GO:0004088	carbamoyl-phosphate synthase (glutamine-...	2	2	0.22	0.01236
GO:0004476	mannose-6-phosphate isomerase activity	2	2	0.22	0.01236
GO:0004638	phosphoribosylaminoimidazole carboxylase...	2	2	0.22	0.01236
GO:0004823	leucine-tRNA ligase activity	2	2	0.22	0.01236
GO:0008460	dTDP-glucose 4,6-dehydratase activity	2	2	0.22	0.01236
GO:0003727	single-stranded RNA binding	36	9	4.01	0.01450
GO:0008757	S-adenosylmethionine-dependent methyltra...	69	14	7.68	0.01750
GO:0070180	large ribosomal subunit rRNA binding	10	4	1.11	0.01836
GO:0015932	nucleobase-containing compound transmemb...	26	7	2.89	0.02012
GO:0003993	acid phosphatase activity	6	3	0.67	0.02116
GO:0034511	U3 snoRNA binding	6	3	0.67	0.02116
GO:0003730	mRNA 3'-UTR binding	16	5	1.78	0.02570
GO:0016874	ligase activity	94	17	10.46	0.02781
GO:1901505	carbohydrate derivative transmembrane tr...	22	6	2.45	0.02893
GO:0004725	protein tyrosine phosphatase activity	7	3	0.78	0.03401
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferas...	3	2	0.33	0.03435
GO:0004151	dihydroorotase activity	3	2	0.33	0.03435
GO:0004832	valine-tRNA ligase activity	3	2	0.33	0.03435
GO:0016149	translation release factor activity, cod...	3	2	0.33	0.03435
GO:0016423	tRNA (guanine) methyltransferase activit...	3	2	0.33	0.03435
GO:0016435	rRNA (guanine) methyltransferase activit...	3	2	0.33	0.03435
GO:0016743	carboxyl- or carbamoyltransferase activi...	3	2	0.33	0.03435
GO:1990825	sequence-specific mRNA binding	3	2	0.33	0.03435
GO:1990932	5.8S rRNA binding	3	2	0.33	0.03435
GO:0016836	hydro-lyase activity	24	6	2.67	0.04317
GO:0005338	nucleotide-sugar transmembrane transport...	8	3	0.89	0.05002
GO:0004857	enzyme inhibitor activity	38	8	4.23	0.05360
GO:0015605	organophosphate ester transmembrane tran...	20	5	2.23	0.06306
GO:0008446	GDP-mannose 4,6-dehydratase activity	4	2	0.45	0.06367
GO:0070401	NADP+ binding	4	2	0.45	0.06367
GO:0055106	ubiquitin-protein transferase regulator ...	9	3	1	0.06900
GO:0016763	transferase activity, transferring pento...	27	6	3.01	0.07160
GO:0000981	DNA-binding transcription factor activit...	28	6	3.12	0.08299
GO:0035639	purine ribonucleoside triphosphate bindi...	292	40	32.51	0.08837
GO:0044877	protein-containing complex binding	284	39	31.62	0.08909
GO:0008175	tRNA methyltransferase activity	10	3	1.11	0.09070
GO:0016706	oxidoreductase activity, acting on paire...	10	3	1.11	0.09070
GO:0004817	cysteine-tRNA ligase activity	5	2	0.56	0.09843
GO:0019212	phosphatase inhibitor activity	5	2	0.56	0.09843
GO:0000107	imidazoleglycerol-phosphate synthase act...	1	1	0.11	0.11132
GO:0003681	bent DNA binding	1	1	0.11	0.11132
GO:0003861	3-isopropylmalate dehydratase activity	1	1	0.11	0.11132
GO:0003879	ATP phosphoribosyltransferase activity	1	1	0.11	0.11132
GO:0003921	GMP synthase activity	1	1	0.11	0.11132
GO:0003922	GMP synthase (glutamine-hydrolyzing) act...	1	1	0.11	0.11132
GO:0003938	IMP dehydrogenase activity	1	1	0.11	0.11132
GO:0003977	UDP-N-acetylglucosamine diphosphorylase ...	1	1	0.11	0.11132
GO:0004019	adenylosuccinate synthase activity	1	1	0.11	0.11132
GO:0004044	amidophosphoribosyltransferase activity	1	1	0.11	0.11132
GO:0004056	argininosuccinate lyase activity	1	1	0.11	0.11132
GO:0004159	dihydrouracil dehydrogenase (NAD+) activ...	1	1	0.11	0.11132
GO:0004164	diphthine synthase activity	1	1	0.11	0.11132
GO:0004400	histidinol-phosphate transaminase activi...	1	1	0.11	0.11132
GO:0004424	imidazoleglycerol-phosphate dehydratase ...	1	1	0.11	0.11132
GO:0004514	nicotinate-nucleotide diphosphorylase (c...	1	1	0.11	0.11132
GO:0004637	phosphoribosylamine-glycine ligase activ...	1	1	0.11	0.11132
GO:0004641	phosphoribosylformylglycinamidine cyclo-...	1	1	0.11	0.11132
GO:0004642	phosphoribosylformylglycinamidine syntha...	1	1	0.11	0.11132
