QTG54_000001	Sm_t00000001-RA
QTG54_000002	Sm_t00000002-RA
QTG54_000003	Sm_t00000003-RA
QTG54_000004	Sm_t00000004-RA
QTG54_000005	Sm_t00000005-RA
QTG54_000006	Sm_t00000006-RA
QTG54_000007	Sm_t00000007-RA
QTG54_000008	Sm_t00000008-RA
QTG54_000009	Sm_t00000009-RA
QTG54_000010	Sm_t00000010-RA
QTG54_000011	Sm_t00000011-RA
QTG54_000012	Sm_t00000012-RA
QTG54_000013	Sm_t00000013-RA
QTG54_000014	Sm_t00000015-RA
QTG54_000015	Sm_t00000016-RA
QTG54_000016	Sm_t00000017-RA
QTG54_000017	Sm_t00000018-RA
QTG54_000018	Sm_t00000019-RA
QTG54_000019	Sm_t00000020-RA
QTG54_000020	Sm_t00000021-RA
QTG54_000021	Sm_t00000022-RA
QTG54_000022	Sm_t00000023-RA
QTG54_000023	Sm_t00000024-RA
QTG54_000024	Sm_t00000025-RA
QTG54_000025	Sm_t00000026-RA
QTG54_000026	Sm_t00000027-RA
QTG54_000027	Sm_t00000028-RA
QTG54_000028	Sm_t00000029-RA
QTG54_000029	Sm_t00000030-RA
QTG54_000030	Sm_t00000031-RA
QTG54_000031	Sm_t00000032-RA
QTG54_000032	Sm_t00000033-RA
QTG54_000033	Sm_t00000034-RA
QTG54_000034	Sm_t00000035-RA
QTG54_000035	Sm_t00000036-RA
QTG54_000036	Sm_t00000037-RA
QTG54_000037	Sm_t00000038-RA
QTG54_000038	Sm_t00000039-RA
QTG54_000039	Sm_t00000040-RA
QTG54_000040	Sm_t00000041-RA
QTG54_000041	Sm_t00000042-RA
QTG54_000042	Sm_t00000043-RA
QTG54_000043	Sm_t00000044-RA
QTG54_000044	Sm_t00000045-RA
QTG54_000045	Sm_t00000046-RA
QTG54_000046	Sm_t00000047-RA
QTG54_000047	Sm_t00000048-RA
QTG54_000048	Sm_t00000049-RA
QTG54_000049	Sm_t00000050-RA
QTG54_000050	Sm_t00000051-RA
QTG54_000051	Sm_t00000052-RA
QTG54_000052	Sm_t00000053-RA
QTG54_000053	Sm_t00000054-RA
QTG54_000054	Sm_t00000055-RA
QTG54_000055	Sm_t00000056-RA
QTG54_000056	Sm_t00000057-RA
QTG54_000057	Sm_t00000058-RA
QTG54_000058	Sm_t00000059-RA
QTG54_000059	Sm_t00000060-RA
QTG54_000060	Sm_t00000061-RA
QTG54_000061	Sm_t00000063-RA
QTG54_000062	Sm_t00000064-RA
QTG54_000063	Sm_t00000065-RA
QTG54_000064	Sm_t00000066-RA
QTG54_000065	Sm_t00000067-RA
QTG54_000066	Sm_t00000068-RA
QTG54_000067	Sm_t00000069-RA
QTG54_000068	Sm_t00000070-RA
QTG54_000069	Sm_t00000071-RA
QTG54_000070	Sm_t00000072-RA
QTG54_000071	Sm_t00000073-RA
QTG54_000072	Sm_t00000074-RA
QTG54_000073	Sm_t00000075-RA
QTG54_000074	Sm_t00000076-RA
QTG54_000075	Sm_t00022534-RA
QTG54_000076	Sm_t00000077-RA
QTG54_000077	Sm_t00000078-RA
QTG54_000078	Sm_t00000079-RA
QTG54_000079	Sm_t00000080-RA
QTG54_000080	Sm_t00000081-RA
QTG54_000081	Sm_t00000082-RA
QTG54_000082	Sm_t00000083-RA
QTG54_000083	Sm_t00000084-RA
QTG54_000084	Sm_t00000085-RA
QTG54_000085	Sm_t00000086-RA
QTG54_000086	Sm_t00000087-RA
QTG54_000087	Sm_t00000088-RA
QTG54_000088	Sm_t00000089-RA
QTG54_000089	Sm_t00000091-RA
QTG54_000090	Sm_t00000092-RA
QTG54_000091	Sm_t00000093-RA
QTG54_000092	Sm_t00000094-RA
QTG54_000093	Sm_t00000095-RA
QTG54_000094	Sm_t00000096-RA
QTG54_000095	Sm_t00000097-RA
QTG54_000096	Sm_t00000098-RA
QTG54_000097	Sm_t00000099-RA
QTG54_000098	Sm_t00000100-RA
QTG54_000099	Sm_t00000101-RA
QTG54_000100	Sm_t00000103-RA
QTG54_000101	Sm_t00000104-RA
QTG54_000102	Sm_t00000105-RA
QTG54_000103	Sm_t00000106-RA
QTG54_000104	Sm_t00000107-RA
QTG54_000105	Sm_t00000108-RA
QTG54_000106	Sm_t00000109-RA
QTG54_000107	Sm_t00000110-RA
QTG54_000108	Sm_t00000111-RA
QTG54_000109	Sm_t00000112-RA
QTG54_000110	Sm_t00000113-RA
QTG54_000111	Sm_t00000114-RA
QTG54_000112	Sm_t00000115-RA
QTG54_000113	Sm_t00000116-RA
QTG54_000114	Sm_t00000117-RA
QTG54_000115	Sm_t00000118-RA
QTG54_000116	Sm_t00000119-RA
QTG54_000117	Sm_t00000120-RA
QTG54_000118	Sm_t00000121-RA
QTG54_000119	Sm_t00000122-RA
QTG54_000120	Sm_t00000123-RA
QTG54_000121	Sm_t00000124-RA
QTG54_000122	Sm_t00000125-RA
QTG54_000123	Sm_t00000126-RA
QTG54_000124	Sm_t00000127-RA
QTG54_000125	Sm_t00000128-RA
QTG54_000126	Sm_t00000129-RA
QTG54_000127	Sm_t00000130-RA
QTG54_000128	Sm_t00000131-RA
QTG54_000129	Sm_t00000133-RA
QTG54_000130	Sm_t00000134-RA
QTG54_000131	Sm_t00000135-RA
QTG54_000132	Sm_t00000136-RA
QTG54_000133	Sm_t00000137-RA
QTG54_000134	Sm_t00000138-RA
QTG54_000135	Sm_t00000139-RA
