	Sample_ID	User_ID	Strain	Dormancy	Batch
P18257_101	P18257_101	S19	R05	0	B
P18257_102	P18257_102	S20	R05	0	B
P18257_103	P18257_103	S21	R05	0	B
P18257_107	P18257_107	S27	R05	49	A
P18257_108	P18257_108	S28	R05	49	B
P18257_109	P18257_109	S30	R05	49	A
P18257_113	P18257_113	S43	R05	56	A
P18257_114	P18257_114	S45	R05	56	B
P18257_115	P18257_115	S46	R05	56	B
P18257_119	P18257_119	S59	R05	72	B
P18257_120	P18257_120	S60	R05	72	B
P18257_121	P18257_121	S62	R05	72	A
P18257_125	P18257_125	S75	R05	91	B
P18257_126	P18257_126	S76	R05	91	B
P18257_127	P18257_127	S78	R05	91	B
P18257_131	P18257_131	S92	R05	126	B
P18257_132	P18257_132	S93	R05	126	B
P18257_133	P18257_133	S94	R05	126	B
P18257_138	P18257_138	S109	R05	189	A
P18257_139	P18257_139	S110	R05	189	A
