baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00021541-RA	1813.93803870801	14.0654714956892	1.18882246794021	11.3393478498484	8.37663532584534e-30	5.73634119410552e-29
Sm_t00018719-RA	0.693916994643476	13.7709369873338	2.96814092088358	4.44249021148515	8.8923680039802e-06	2.11768515223354e-05
Sm_t00009316-RA	0.499230641045244	13.5070745117894	4.35444153919842	2.96756183208929	0.00300171901156572	0.00583654119955609
Sm_t00001642-RA	1.33272185876931	12.8500561314527	5.44405507320176	2.25292653482276	0.0242637814756079	0.0429341067135047
Sm_t00009227-RA	8449.61898943313	11.9396383950284	0.621775997308652	18.2616222629641	1.67247323908894e-74	3.91001510653025e-73
Sm_t00012191-RA	22833.6882123948	11.7506457807594	0.328159945981375	34.025011027376	9.50841090625849e-254	3.56163942746429e-251
Sm_t00019204-RA	0.479859261245989	11.7373083254769	4.35129302664956	2.56298719878768	0.0103775874683834	0.0190882381456864
Sm_t00003059-RA	401.601593672198	11.5541553829001	1.18951563156692	9.22153109366934	2.92887713493596e-20	1.424384102322e-19
Sm_t00009162-RA	6148.59525931489	10.8045512381404	0.74763590494627	13.6691552272023	1.55186304038946e-42	1.59598556490572e-41
Sm_t00009980-RA	1311.50744218989	10.3322364600577	0.744006864381882	13.1010034002249	3.24933270055136e-39	3.04620422694626e-38
Sm_t00006726-RA	767.524855963801	9.71169518864344	0.679729121988053	13.4269592009681	4.20319212671461e-41	4.13113740454236e-40
Sm_t00010080-RA	67.0513137162661	9.57040947728761	1.22041052785491	7.36261222941189	1.80345688609663e-13	6.62577795816145e-13
Sm_t00019202-RA	376.75650715616	9.49625058830004	1.22324048538092	7.28495393571366	3.21780230633598e-13	1.16643603603439e-12
Sm_t00006458-RA	172.116345048031	9.36838659076373	1.31984462862734	6.65486406524878	2.8356200850631e-11	9.32628529830705e-11
Sm_t00008968-RA	166.750378774734	9.28491506220044	1.21701395708913	7.1485746005814	8.76835948226256e-13	3.11287842108293e-12
Sm_t00013949-RA	332.88112065975	9.27848043369553	0.754387989982828	11.523884989067	9.99983611297767e-31	7.09415982829763e-30
Sm_t00015457-RA	1893.4323441508	9.27829365137833	0.384233059787529	22.6250538050669	2.45663459845465e-113	1.25102818101364e-111
Sm_t00000917-RA	159.365978452688	9.18960539096369	1.19749506410598	7.18550384789077	6.6959789139126e-13	2.39669393826776e-12
Sm_t00012155-RA	112.218687233372	9.07739250342774	1.20547537773799	7.04484940983468	1.85662189488202e-12	6.51576486781829e-12
