baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sm_t00014853-RA	1.30772169814898	-18.0164420778942	2.38424619047421	-7.31109150872848	2.64980990835227e-13	1.05185473663475e-12
Sm_t00015713-RA	0.834459910974846	-16.1325812970987	3.43487623468746	-4.52638762936777	6.00004801672621e-06	1.57005580128849e-05
Sm_t00014961-RA	543.07957032397	-14.3331012007109	1.19353669757781	-11.5187921985237	1.06087600254071e-30	8.46004928896703e-30
Sm_t00007606-RA	1006.36755894409	-14.2625050454357	1.18861406819244	-11.5071034505216	1.21490687593424e-30	9.66110366944236e-30
Sm_t00016364-RA	415.0172065862	-12.9838917082077	1.19496873843567	-10.3759130338749	3.19146844964031e-25	2.1011120570165e-24
Sm_t00018098-RA	189.677022229971	-12.817049151961	1.19241601977996	-10.2582059860436	1.08707521850758e-24	7.01240070530243e-24
Sm_t00015656-RA	141.171644558328	-12.3749455987915	1.19545216767896	-9.86233152404783	6.06250003151081e-23	3.6314996653935e-22
Sm_t00015502-RA	263.41626828039	-12.3262971863627	1.19160766184006	-9.8533246825822	6.63133357447577e-23	3.95685136454459e-22
Sm_t00006825-RA	204.297720701186	-11.9599428575468	1.19125118976249	-9.54873577907171	1.31288556454964e-21	7.43836802970855e-21
Sm_t00012494-RA	354.366407418798	-11.8591941392199	1.03380928501964	-10.905487407192	1.08510175486182e-27	7.83807942791493e-27
Sm_t00004686-RA	157.528618096778	-11.5736951541231	1.20248465794522	-9.13832461937634	6.34272953646162e-20	3.3557257172925e-19
Sm_t00014960-RA	278.773537413691	-11.5091582920115	1.03440614462548	-10.5608018173237	4.52777573196229e-26	3.07033563640788e-25
Sm_t00015593-RA	149.617102591989	-11.4896511871004	1.19414945758032	-9.1317306371317	6.74128730059642e-20	3.56103038017166e-19
Sm_t00015501-RA	497.35803266951	-11.3504108667833	0.739783521326216	-14.5521095786022	5.66293776760854e-48	7.71415943809439e-47
Sm_t00002360-RA	1952.42590148577	-11.3276592366037	0.401888344590039	-26.7304573054043	2.08380603944593e-157	2.52229836746076e-155
Sm_t00002728-RA	127.272584101843	-11.2736555268597	1.19721301102731	-8.92794801627485	4.33983482128842e-19	2.22789581586045e-18
Sm_t00011966-RA	118.261718877993	-11.1576349249324	1.19672179943068	-8.83466393773572	1.00399624950928e-18	5.09698036075025e-18
Sm_t00011757-RA	417.844891923071	-11.0959396260884	0.739618838694064	-14.2112924606511	7.79730157903173e-46	9.89760843133122e-45
Sm_t00019142-RA	57.8432853699053	-11.091648960327	2.98552831562758	-3.51919253464473	0.000432862447700904	0.000976866032592824
Sm_t00016642-RA	306.187566409627	-11.0654024974031	0.855450535918474	-12.2513249537573	1.65273451104877e-34	1.48974675660811e-33
Sm_t00016996-RA	56.78020648426	-11.0646925403374	1.20840496863008	-8.67233486487387	4.23348483201959e-18	2.0903448124535e-17
Sm_t00004448-RA	106.365204047119	-11.0082430600315	1.20301434456968	-8.66427163323635	4.54408764597661e-18	2.24240271545485e-17
Sm_t00019835-RA	383.647289605247	-10.9650094962516	0.739111853771944	-14.0438953093214	8.39675076363283e-45	1.03737341173103e-43
Sm_t00009812-RA	1203.95903724254	-10.9236496773929	0.431605353299221	-23.9539421797333	8.40624016566836e-127	6.22061772259458e-125
Sm_t00008496-RA	268.365640942693	-10.869946502392	0.852686658905386	-12.0618123843934	1.68043736725965e-33	1.47624114181348e-32
Sm_t00005136-RA	2053.04473180462	-10.8041241043018	0.335913186295499	-30.421920071075	2.81829224465257e-203	6.45388924025438e-201
Sm_t00016459-RA	248.940396445089	-10.7531978423322	0.853062775158841	-11.9196360906017	9.3516113746609e-33	8.02798411119572e-32
Sm_t00014946-RA	569.313730116591	-10.731700464896	0.565211566325347	-17.9520396775733	4.62597929380737e-72	1.14607960691315e-70
