GO.ID	Term	Annotated	Significant	Expected	classic
GO:0042254	ribosome biogenesis	261	176	75.15	< 1e-30
GO:0034660	ncRNA metabolic process	358	210	103.08	< 1e-30
GO:0006364	rRNA processing	199	137	57.3	< 1e-30
GO:0034470	ncRNA processing	273	169	78.6	< 1e-30
GO:0016072	rRNA metabolic process	221	144	63.63	< 1e-30
GO:0022613	ribonucleoprotein complex biogenesis	350	195	100.77	3.5e-29
GO:0002181	cytoplasmic translation	146	99	42.04	1.6e-23
GO:0006396	RNA processing	452	222	130.14	4.0e-23
GO:0010467	gene expression	1156	453	332.84	4.2e-22
GO:0006412	translation	310	164	89.26	4.7e-21
GO:0000462	maturation of SSU-rRNA from tricistronic...	69	56	19.87	1.0e-19
GO:0043043	peptide biosynthetic process	327	167	94.15	2.5e-19
GO:0000460	maturation of 5.8S rRNA	59	50	16.99	2.6e-19
GO:0042274	ribosomal small subunit biogenesis	107	75	30.81	2.6e-19
GO:0030490	maturation of SSU-rRNA	81	61	23.32	2.1e-18
GO:0043604	amide biosynthetic process	386	186	111.14	5.6e-18
GO:0000469	cleavage involved in rRNA processing	50	43	14.4	3.0e-17
GO:0016070	RNA metabolic process	975	381	280.72	4.5e-17
GO:0000466	maturation of 5.8S rRNA from tricistroni...	54	45	15.55	6.6e-17
GO:0006518	peptide metabolic process	369	177	106.24	8.1e-17
GO:0000478	endonucleolytic cleavage involved in rRN...	38	35	10.94	2.4e-16
GO:0000479	endonucleolytic cleavage of tricistronic...	36	33	10.37	2.6e-15
GO:0006413	translational initiation	116	72	33.4	3.3e-14
GO:0043603	cellular amide metabolic process	468	205	134.75	4.3e-14
GO:0034641	cellular nitrogen compound metabolic pro...	1704	586	490.62	6.2e-14
GO:0042255	ribosome assembly	56	42	16.12	6.8e-13
GO:0042273	ribosomal large subunit biogenesis	74	50	21.31	3.1e-12
GO:1901566	organonitrogen compound biosynthetic pro...	775	300	223.14	4.5e-12
GO:0000447	endonucleolytic cleavage in ITS1 to sepa...	28	25	8.06	3.0e-11
GO:0090502	RNA phosphodiester bond hydrolysis, endo...	54	38	15.55	2.1e-10
GO:0000966	RNA 5'-end processing	26	23	7.49	3.0e-10
GO:0034471	ncRNA 5'-end processing	26	23	7.49	3.0e-10
GO:0000184	nuclear-transcribed mRNA catabolic proce...	76	48	21.88	3.2e-10
GO:0044271	cellular nitrogen compound biosynthetic ...	1097	392	315.85	3.9e-10
GO:0006613	cotranslational protein targeting to mem...	63	41	18.14	1.7e-09
GO:0006614	SRP-dependent cotranslational protein ta...	61	40	17.56	2.0e-09
GO:0046483	heterocycle metabolic process	1529	516	440.23	2.4e-09
GO:0000967	rRNA 5'-end processing	24	21	6.91	3.0e-09
GO:0006139	nucleobase-containing compound metabolic...	1412	480	406.54	6.1e-09
GO:0006399	tRNA metabolic process	127	67	36.57	6.2e-09
GO:0090304	nucleic acid metabolic process	1163	406	334.85	6.9e-09
GO:0006725	cellular aromatic compound metabolic pro...	1541	516	443.69	1.2e-08
GO:0009059	macromolecule biosynthetic process	988	351	284.47	1.8e-08
GO:0070972	protein localization to endoplasmic reti...	81	47	23.32	2.6e-08
GO:0045047	protein targeting to ER	74	44	21.31	2.6e-08
GO:0034645	cellular macromolecule biosynthetic proc...	972	345	279.86	3.0e-08
GO:0000027	ribosomal large subunit assembly	26	21	7.49	5.1e-08
GO:0090501	RNA phosphodiester bond hydrolysis	107	57	30.81	5.7e-08
GO:0000470	maturation of LSU-rRNA	36	26	10.37	7.3e-08
GO:0072599	establishment of protein localization to...	76	44	21.88	8.0e-08
GO:0000472	endonucleolytic cleavage to generate mat...	21	18	6.05	8.5e-08
GO:1901360	organic cyclic compound metabolic proces...	1602	529	461.25	8.6e-08
GO:0000054	ribosomal subunit export from nucleus	18	16	5.18	1.7e-07
GO:0033750	ribosome localization	18	16	5.18	1.7e-07
GO:0000463	maturation of LSU-rRNA from tricistronic...	27	21	7.77	1.7e-07
GO:0071428	rRNA-containing ribonucleoprotein comple...	27	21	7.77	1.7e-07
GO:0006807	nitrogen compound metabolic process	2332	730	671.43	1.7e-07
GO:0000480	endonucleolytic cleavage in 5'-ETS of tr...	20	17	5.76	2.6e-07
GO:0043170	macromolecule metabolic process	1976	631	568.93	4.0e-07
GO:0000956	nuclear-transcribed mRNA catabolic proce...	118	59	33.97	6.1e-07
GO:0009451	RNA modification	100	51	28.79	1.7e-06
GO:0006402	mRNA catabolic process	138	65	39.73	2.5e-06
GO:0044238	primary metabolic process	2427	749	698.78	3.0e-06
GO:0006612	protein targeting to membrane	89	46	25.62	3.4e-06
GO:0044085	cellular component biogenesis	1021	347	293.97	6.7e-06
GO:0006401	RNA catabolic process	157	70	45.2	1.1e-05
GO:0002183	cytoplasmic translational initiation	32	21	9.21	1.5e-05
GO:0006417	regulation of translation	136	62	39.16	1.6e-05
GO:0000028	ribosomal small subunit assembly	20	15	5.76	2.4e-05
GO:0010501	RNA secondary structure unwinding	49	28	14.11	2.7e-05
GO:0090150	establishment of protein localization to...	116	54	33.4	2.7e-05
GO:0071704	organic substance metabolic process	2556	778	735.93	2.8e-05
GO:0071826	ribonucleoprotein complex subunit organi...	169	73	48.66	2.9e-05
GO:0043038	amino acid activation	33	21	9.5	3.1e-05
GO:0043039	tRNA aminoacylation	33	21	9.5	3.1e-05
GO:0000055	ribosomal large subunit export from nucl...	11	10	3.17	3.1e-05
GO:0006418	tRNA aminoacylation for protein translat...	31	20	8.93	3.6e-05
GO:0010608	posttranscriptional regulation of gene e...	205	85	59.02	4.1e-05
GO:0034248	regulation of cellular amide metabolic p...	148	65	42.61	4.3e-05
GO:0022618	ribonucleoprotein complex assembly	160	69	46.07	5.1e-05
GO:0031125	rRNA 3'-end processing	15	12	4.32	5.6e-05
GO:1901576	organic substance biosynthetic process	1516	485	436.49	9.5e-05
GO:0000373	Group II intron splicing	7	7	2.02	0.00016
GO:0001510	RNA methylation	34	20	9.79	0.00023
GO:0044249	cellular biosynthetic process	1530	486	440.52	0.00024
GO:0044237	cellular metabolic process	2638	794	759.54	0.00028
GO:0043628	ncRNA 3'-end processing	23	15	6.62	0.00030
GO:0071426	ribonucleoprotein complex export from nu...	70	34	20.15	0.00032
GO:0008152	metabolic process	2755	824	793.22	0.00038
GO:0000154	rRNA modification	35	20	10.08	0.00039
GO:0015931	nucleobase-containing compound transport	123	53	35.41	0.00039
GO:0000963	mitochondrial RNA processing	15	11	4.32	0.00044
GO:0006405	RNA export from nucleus	71	34	20.44	0.00045
GO:0071166	ribonucleoprotein complex localization	71	34	20.44	0.00045
GO:0016071	mRNA metabolic process	321	119	92.42	0.00045
GO:0009058	biosynthetic process	1556	491	448	0.00048
GO:0010468	regulation of gene expression	738	249	212.49	0.00048
GO:0000959	mitochondrial RNA metabolic process	26	16	7.49	0.00049
GO:0006605	protein targeting	197	78	56.72	0.00050
GO:0000372	Group I intron splicing	6	6	1.73	0.00056
GO:0000376	RNA splicing, via transesterification re...	6	6	1.73	0.00056
GO:0072657	protein localization to membrane	151	62	43.48	0.00063
GO:0140053	mitochondrial gene expression	67	32	19.29	0.00069
GO:0006400	tRNA modification	60	29	17.28	0.00096
GO:0001732	formation of cytoplasmic translation ini...	8	7	2.3	0.00097
GO:0046040	IMP metabolic process	8	7	2.3	0.00097
GO:0031167	rRNA methylation	16	11	4.61	0.00104
GO:2000217	regulation of invasive growth in respons...	14	10	4.03	0.00114
GO:0008033	tRNA processing	72	33	20.73	0.00141
GO:0090305	nucleic acid phosphodiester bond hydroly...	170	67	48.95	0.00144
GO:0006520	cellular amino acid metabolic process	204	78	58.74	0.00168
GO:0006392	transcription elongation from mitochondr...	5	5	1.44	0.00196
GO:0090615	mitochondrial mRNA processing	5	5	1.44	0.00196
GO:0097237	cellular response to toxic substance	113	47	32.54	0.00206
GO:0070784	regulation of growth of unicellular orga...	17	11	4.89	0.00219
GO:0006446	regulation of translational initiation	34	18	9.79	0.00251
GO:0042304	regulation of fatty acid biosynthetic pr...	13	9	3.74	0.00290
GO:0006188	IMP biosynthetic process	7	6	2.02	0.00297
GO:0006189	'de novo' IMP biosynthetic process	7	6	2.02	0.00297
GO:0019852	L-ascorbic acid metabolic process	7	6	2.02	0.00297
GO:0019853	L-ascorbic acid biosynthetic process	7	6	2.02	0.00297
GO:0051085	chaperone cofactor-dependent protein ref...	7	6	2.02	0.00297
GO:1901264	carbohydrate derivative transport	37	19	10.65	0.00303
GO:1901657	glycosyl compound metabolic process	72	32	20.73	0.00306
GO:1990928	response to amino acid starvation	27	15	7.77	0.00310
GO:0000459	exonucleolytic trimming involved in rRNA...	11	8	3.17	0.00317
GO:0019673	GDP-mannose metabolic process	11	8	3.17	0.00317
GO:0071356	cellular response to tumor necrosis fact...	11	8	3.17	0.00317
GO:0034612	response to tumor necrosis factor	20	12	5.76	0.00344
GO:0034198	cellular response to amino acid starvati...	25	14	7.2	0.00385
GO:0001403	invasive growth in response to glucose l...	18	11	5.18	0.00419
GO:0009081	branched-chain amino acid metabolic proc...	18	11	5.18	0.00419
GO:0034661	ncRNA catabolic process	18	11	5.18	0.00419
GO:0097064	ncRNA export from nucleus	18	11	5.18	0.00419
GO:0090069	regulation of ribosome biogenesis	16	10	4.61	0.00506
GO:0036267	invasive filamentous growth	21	12	6.05	0.00595
GO:0090503	RNA phosphodiester bond hydrolysis, exon...	21	12	6.05	0.00595
GO:0072594	establishment of protein localization to...	244	88	70.25	0.00631
GO:0042364	water-soluble vitamin biosynthetic proce...	39	19	11.23	0.00639
GO:0000056	ribosomal small subunit export from nucl...	4	4	1.15	0.00684
GO:0000448	cleavage in ITS2 between 5.8S rRNA and L...	4	4	1.15	0.00684
GO:0008049	male courtship behavior	4	4	1.15	0.00684
GO:0035672	oligopeptide transmembrane transport	4	4	1.15	0.00684
GO:0042256	mature ribosome assembly	4	4	1.15	0.00684
GO:0046656	folic acid biosynthetic process	4	4	1.15	0.00684
GO:1902255	positive regulation of intrinsic apoptot...	4	4	1.15	0.00684
GO:0006390	mitochondrial transcription	12	8	3.46	0.00713
GO:0042451	purine nucleoside biosynthetic process	12	8	3.46	0.00713
GO:0046129	purine ribonucleoside biosynthetic proce...	12	8	3.46	0.00713
GO:0070525	tRNA threonylcarbamoyladenosine metaboli...	12	8	3.46	0.00713
GO:0071028	nuclear mRNA surveillance	12	8	3.46	0.00713
GO:0006611	protein export from nucleus	84	35	24.19	0.00714
GO:0050657	nucleic acid transport	90	37	25.91	0.00746
GO:0050658	RNA transport	90	37	25.91	0.00746
GO:0070783	growth of unicellular organism as a thre...	24	13	6.91	0.00774
GO:0010629	negative regulation of gene expression	399	136	114.88	0.00804
GO:0016143	S-glycoside metabolic process	10	7	2.88	0.00819
GO:0019757	glycosinolate metabolic process	10	7	2.88	0.00819
GO:0019760	glucosinolate metabolic process	10	7	2.88	0.00819
