GO.ID	Term	Annotated	Significant	Expected	classic
GO:0003682	chromatin binding	123	54	28.61	1.9e-07
GO:0022804	active transmembrane transporter activit...	110	49	25.58	4.2e-07
GO:0042626	ATPase activity, coupled to transmembran...	50	27	11.63	2.1e-06
GO:0003677	DNA binding	281	98	65.36	2.3e-06
GO:0015078	proton transmembrane transporter activit...	35	21	8.14	3.0e-06
GO:0036442	proton-exporting ATPase activity	19	14	4.42	4.3e-06
GO:0043492	ATPase activity, coupled to movement of ...	52	27	12.09	5.6e-06
GO:0015077	monovalent inorganic cation transmembran...	47	25	10.93	7.1e-06
GO:1901618	organic hydroxy compound transmembrane t...	10	9	2.33	1.5e-05
GO:0019829	cation-transporting ATPase activity	33	19	7.68	2.1e-05
GO:0022853	active ion transmembrane transporter act...	33	19	7.68	2.1e-05
GO:0042625	ATPase coupled ion transmembrane transpo...	33	19	7.68	2.1e-05
GO:0044769	ATPase activity, coupled to transmembran...	19	13	4.42	3.5e-05
GO:1990239	steroid hormone binding	7	7	1.63	3.6e-05
GO:0046961	proton-transporting ATPase activity, rot...	17	12	3.95	4.4e-05
GO:0008553	proton-exporting ATPase activity, phosph...	13	10	3.02	6.2e-05
GO:0042623	ATPase activity, coupled	229	78	53.26	7.2e-05
GO:0015318	inorganic molecular entity transmembrane...	152	56	35.35	7.5e-05
GO:0008094	DNA-dependent ATPase activity	59	27	13.72	0.00010
GO:0003896	DNA primase activity	6	6	1.4	0.00016
GO:0019237	centromeric DNA binding	6	6	1.4	0.00016
GO:0003824	catalytic activity	1923	487	447.25	0.00016
GO:0015662	ATPase activity, coupled to transmembran...	21	13	4.88	0.00016
GO:0015399	primary active transmembrane transporter...	64	28	14.89	0.00020
GO:0015405	P-P-bond-hydrolysis-driven transmembrane...	64	28	14.89	0.00020
GO:0003690	double-stranded DNA binding	123	46	28.61	0.00022
GO:0032135	DNA insertion or deletion binding	8	7	1.86	0.00023
GO:0015075	ion transmembrane transporter activity	168	58	39.07	0.00043
GO:0042393	histone binding	51	23	11.86	0.00043
GO:0016773	phosphotransferase activity, alcohol gro...	198	66	46.05	0.00053
GO:0008559	xenobiotic transmembrane transporting AT...	5	5	1.16	0.00067
GO:0015244	fluconazole transmembrane transporter ac...	5	5	1.16	0.00067
GO:0034040	lipid-transporting ATPase activity	5	5	1.16	0.00067
GO:0034041	sterol-transporting ATPase activity	5	5	1.16	0.00067
GO:0042895	antibiotic transmembrane transporter act...	5	5	1.16	0.00067
GO:0042910	xenobiotic transmembrane transporter act...	5	5	1.16	0.00067
GO:0099130	estrogen binding	5	5	1.16	0.00067
GO:1903875	corticosterone binding	5	5	1.16	0.00067
GO:1903924	estradiol binding	5	5	1.16	0.00067
GO:0003688	DNA replication origin binding	11	8	2.56	0.00069
GO:0003774	motor activity	29	15	6.74	0.00076
GO:0004712	protein serine/threonine/tyrosine kinase...	9	7	2.09	0.00083
GO:1901474	azole transmembrane transporter activity	9	7	2.09	0.00083
GO:0140097	catalytic activity, acting on DNA	119	43	27.68	0.00083
GO:0015665	alcohol transmembrane transporter activi...	7	6	1.63	0.00087
GO:0003777	microtubule motor activity	19	11	4.42	0.00117
GO:1990837	sequence-specific double-stranded DNA bi...	74	29	17.21	0.00139
GO:0016887	ATPase activity	283	87	65.82	0.00143
GO:0016878	acid-thiol ligase activity	12	8	2.79	0.00165
GO:0000217	DNA secondary structure binding	17	10	3.95	0.00168
GO:0015291	secondary active transmembrane transport...	49	21	11.4	0.00171
GO:0030674	protein binding, bridging	31	15	7.21	0.00183
GO:0003887	DNA-directed DNA polymerase activity	20	11	4.65	0.00206
GO:0030983	mismatched DNA binding	15	9	3.49	0.00240
GO:0017111	nucleoside-triphosphatase activity	349	103	81.17	0.00241
GO:0015203	polyamine transmembrane transporter acti...	4	4	0.93	0.00291
GO:0016168	chlorophyll binding	4	4	0.93	0.00291
GO:0031409	pigment binding	4	4	0.93	0.00291
GO:0016301	kinase activity	221	69	51.4	0.00293
GO:0016462	pyrophosphatase activity	379	110	88.15	0.00318
GO:0016818	hydrolase activity, acting on acid anhyd...	379	110	88.15	0.00318
GO:0032138	single base insertion or deletion bindin...	6	5	1.4	0.00326
GO:0042562	hormone binding	13	8	3.02	0.00342
