GO.ID	Term	Annotated	Significant	Expected	classic
GO:0005694	chromosome	354	136	85.29	1.3e-10
GO:0009534	chloroplast thylakoid	85	47	20.48	3.8e-10
GO:0031976	plastid thylakoid	86	47	20.72	6.5e-10
GO:0000793	condensed chromosome	72	41	17.35	1.6e-09
GO:0044435	plastid part	270	107	65.06	2.2e-09
GO:0044427	chromosomal part	298	115	71.8	3.4e-09
GO:0044434	chloroplast part	265	104	63.85	7.4e-09
GO:0000228	nuclear chromosome	239	95	57.59	1.7e-08
GO:0034357	photosynthetic membrane	65	36	15.66	4.4e-08
GO:0042651	thylakoid membrane	65	36	15.66	4.4e-08
GO:0000775	chromosome, centromeric region	68	37	16.38	5.4e-08
GO:0000794	condensed nuclear chromosome	51	30	12.29	9.8e-08
GO:0005657	replication fork	57	32	13.73	1.7e-07
GO:0044436	thylakoid part	73	38	17.59	1.7e-07
GO:0044454	nuclear chromosome part	209	82	50.36	3.5e-07
GO:0009579	thylakoid	111	50	26.74	7.1e-07
GO:0043596	nuclear replication fork	50	28	12.05	1.1e-06
GO:0016471	vacuolar proton-transporting V-type ATPa...	16	13	3.86	2.3e-06
GO:0030894	replisome	16	13	3.86	2.3e-06
GO:0033176	proton-transporting V-type ATPase comple...	16	13	3.86	2.3e-06
GO:0009536	plastid	447	147	107.7	3.5e-06
GO:0009533	chloroplast stromal thylakoid	11	10	2.65	5.4e-06
GO:0044815	DNA packaging complex	21	15	5.06	5.8e-06
GO:0009507	chloroplast	436	143	105.05	5.8e-06
GO:0016469	proton-transporting two-sector ATPase co...	19	14	4.58	6.8e-06
GO:0031164	contractile vacuolar membrane	15	12	3.61	7.8e-06
GO:0033181	plasma membrane proton-transporting V-ty...	15	12	3.61	7.8e-06
GO:0009532	plastid stroma	178	68	42.89	1.1e-05
GO:0000785	chromatin	205	76	49.39	1.2e-05
GO:0000779	condensed chromosome, centromeric region	22	15	5.3	1.4e-05
GO:0009570	chloroplast stroma	177	67	42.65	1.9e-05
GO:0000780	condensed nuclear chromosome, centromeri...	18	13	4.34	2.1e-05
GO:0000790	nuclear chromatin	168	64	40.48	2.3e-05
GO:0009526	plastid envelope	142	56	34.21	2.4e-05
GO:0043601	nuclear replisome	14	11	3.37	2.6e-05
GO:0009535	chloroplast thylakoid membrane	54	27	13.01	2.8e-05
GO:0055035	plastid thylakoid membrane	55	27	13.25	4.3e-05
GO:0000776	kinetochore	36	20	8.67	4.5e-05
GO:0000796	condensin complex	7	7	1.69	4.6e-05
GO:0005658	alpha DNA polymerase:primase complex	7	7	1.69	4.6e-05
GO:0005876	spindle microtubule	19	13	4.58	5.2e-05
GO:0000922	spindle pole	24	15	5.78	6.6e-05
GO:0098687	chromosomal region	105	43	25.3	7.7e-05
GO:0009941	chloroplast envelope	134	52	32.29	7.8e-05
GO:0005819	spindle	75	33	18.07	0.00010
GO:0000331	contractile vacuole	20	13	4.82	0.00012
GO:0000322	storage vacuole	102	41	24.58	0.00018
