GO.ID	Term	Annotated	Significant	Expected	classic
GO:0005887	integral component of plasma membrane	66	9	2.01	0.00013
GO:0009295	nucleoid	29	6	0.88	0.00018
GO:0031226	intrinsic component of plasma membrane	74	9	2.25	0.00033
GO:0016507	mitochondrial fatty acid beta-oxidation ...	2	2	0.06	0.00091
GO:0036125	fatty acid beta-oxidation multienzyme co...	2	2	0.06	0.00091
GO:0042645	mitochondrial nucleoid	19	4	0.58	0.00219
GO:0044459	plasma membrane part	228	15	6.93	0.00318
GO:0042644	chloroplast nucleoid	4	2	0.12	0.00527
GO:0045121	membrane raft	26	4	0.79	0.00717
GO:0098857	membrane microdomain	26	4	0.79	0.00717
GO:0009706	chloroplast inner membrane	14	3	0.43	0.00776
GO:0005886	plasma membrane	627	29	19.05	0.00947
GO:0009528	plastid inner membrane	15	3	0.46	0.00949
GO:0031969	chloroplast membrane	29	4	0.88	0.01063
GO:0098589	membrane region	29	4	0.88	0.01063
GO:0071944	cell periphery	690	31	20.97	0.01082
GO:0042170	plastid membrane	30	4	0.91	0.01198
GO:0042646	plastid nucleoid	6	2	0.18	0.01266
GO:0005759	mitochondrial matrix	174	11	5.29	0.01522
GO:0000323	lytic vacuole	181	11	5.5	0.01993
GO:0016020	membrane	1367	52	41.54	0.02024
GO:0031594	neuromuscular junction	35	4	1.06	0.02040
GO:0005704	polytene chromosome band	1	1	0.03	0.03039
GO:0009337	sulfite reductase complex (NADPH)	1	1	0.03	0.03039
GO:0032195	post-lysosomal vacuole	1	1	0.03	0.03039
GO:0035012	polytene chromosome, telomeric region	1	1	0.03	0.03039
GO:0036186	early phagosome membrane	1	1	0.03	0.03039
GO:0042599	lamellar body	1	1	0.03	0.03039
GO:0043159	acrosomal matrix	1	1	0.03	0.03039
GO:0060473	cortical granule	1	1	0.03	0.03039
GO:0070090	metaphase plate	1	1	0.03	0.03039
GO:0070912	Ddb1-Ckn1 complex	1	1	0.03	0.03039
GO:0097208	alveolar lamellar body	1	1	0.03	0.03039
GO:0098993	anchored component of synaptic vesicle m...	1	1	0.03	0.03039
GO:0061845	neuron projection branch point	23	3	0.7	0.03102
GO:1990033	dendritic branch point	23	3	0.7	0.03102
GO:0061174	type I terminal bouton	24	3	0.73	0.03468
GO:0071212	subsynaptic reticulum	24	3	0.73	0.03468
GO:0016592	mediator complex	10	2	0.3	0.03509
GO:0005739	mitochondrion	670	28	20.36	0.03923
GO:0005770	late endosome	84	6	2.55	0.04079
GO:0005765	lysosomal membrane	63	5	1.91	0.04097
GO:0043198	dendritic shaft	27	3	0.82	0.04696
GO:0098852	lytic vacuole membrane	111	7	3.37	0.04998
GO:0043195	terminal bouton	48	4	1.46	0.05631
GO:0000791	euchromatin	13	2	0.4	0.05734
GO:0009330	DNA topoisomerase complex (ATP-hydrolyzi...	2	1	0.06	0.05986
GO:0009353	mitochondrial oxoglutarate dehydrogenase...	2	1	0.06	0.05986
GO:0017133	mitochondrial electron transfer flavopro...	2	1	0.06	0.05986
GO:0032419	extrinsic component of lysosome membrane	2	1	0.06	0.05986
GO:0035658	Mon1-Ccz1 complex	2	1	0.06	0.05986
GO:0044352	pinosome	2	1	0.06	0.05986
GO:0044354	macropinosome	2	1	0.06	0.05986
GO:0045251	electron transfer flavoprotein complex	2	1	0.06	0.05986
GO:0045252	oxoglutarate dehydrogenase complex	2	1	0.06	0.05986
GO:0031902	late endosome membrane	49	4	1.49	0.05994
GO:0044435	plastid part	270	13	8.2	0.06252
GO:0009526	plastid envelope	142	8	4.31	0.06470
GO:0043679	axon terminus	51	4	1.55	0.06756
GO:1990391	DNA repair complex	32	3	0.97	0.07150
GO:0044456	synapse part	97	6	2.95	0.07262
GO:0043204	perikaryon	15	2	0.46	0.07424
GO:0044306	neuron projection terminus	53	4	1.61	0.07567
GO:0005773	vacuole	309	14	9.39	0.08133
GO:0098793	presynapse	77	5	2.34	0.08296
GO:0005764	lysosome	101	6	3.07	0.08466
GO:0000322	storage vacuole	102	6	3.1	0.08784
GO:0000324	fungal-type vacuole	102	6	3.1	0.08784
GO:0000923	equatorial microtubule organizing center	3	1	0.09	0.08844
GO:0000928	gamma-tubulin small complex, spindle pol...	3	1	0.09	0.08844
GO:0005701	polytene chromosome chromocenter	3	1	0.09	0.08844
GO:0005822	inner plaque of spindle pole body	3	1	0.09	0.08844
GO:0005960	glycine cleavage complex	3	1	0.09	0.08844
GO:0005967	mitochondrial pyruvate dehydrogenase com...	3	1	0.09	0.08844
GO:0008275	gamma-tubulin small complex	3	1	0.09	0.08844
GO:0031093	platelet alpha granule lumen	3	1	0.09	0.08844
GO:0036062	presynaptic periactive zone	3	1	0.09	0.08844
GO:0043025	neuronal cell body	103	6	3.13	0.09108
GO:0031967	organelle envelope	462	19	14.04	0.09906
GO:0031975	envelope	462	19	14.04	0.09906
GO:0098590	plasma membrane region	106	6	3.22	0.10119
GO:0031977	thylakoid lumen	18	2	0.55	0.10207
GO:0044434	chloroplast part	265	12	8.05	0.10312
GO:0030424	axon	107	6	3.25	0.10469
GO:0031224	intrinsic component of membrane	380	16	11.55	0.10746
GO:0009941	chloroplast envelope	134	7	4.07	0.11062
GO:0045202	synapse	109	6	3.31	0.11188
GO:0019866	organelle inner membrane	187	9	5.68	0.11208
GO:0009534	chloroplast thylakoid	85	5	2.58	0.11439
GO:0000930	gamma-tubulin complex	4	1	0.12	0.11617
GO:0005824	outer plaque of spindle pole body	4	1	0.12	0.11617
GO:0005947	mitochondrial alpha-ketoglutarate dehydr...	4	1	0.12	0.11617
GO:0020015	glycosome	4	1	0.12	0.11617
GO:0030062	mitochondrial tricarboxylic acid cycle e...	4	1	0.12	0.11617
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	4	1	0.12	0.11617
GO:0042734	presynaptic membrane	4	1	0.12	0.11617
GO:0045239	tricarboxylic acid cycle enzyme complex	4	1	0.12	0.11617
GO:0045240	dihydrolipoyl dehydrogenase complex	4	1	0.12	0.11617
GO:0045254	pyruvate dehydrogenase complex	4	1	0.12	0.11617
GO:1990816	vacuole-mitochondrion membrane contact s...	4	1	0.12	0.11617
GO:0031976	plastid thylakoid	86	5	2.61	0.11868
GO:0016324	apical plasma membrane	40	3	1.22	0.12008
GO:0044437	vacuolar part	221	10	6.72	0.13096
GO:0034357	photosynthetic membrane	65	4	1.98	0.13366
GO:0042651	thylakoid membrane	65	4	1.98	0.13366
GO:0032153	cell division site	42	3	1.28	0.13375
GO:0016021	integral component of membrane	366	15	11.12	0.13837
GO:0044297	cell body	116	6	3.52	0.13895
GO:0032154	cleavage furrow	5	1	0.15	0.14306
GO:0033254	vacuolar transporter chaperone complex	5	1	0.15	0.14306
GO:0016363	nuclear matrix	23	2	0.7	0.15334
GO:0000118	histone deacetylase complex	6	1	0.18	0.16914
GO:0008074	guanylate cyclase complex, soluble	6	1	0.18	0.16914
GO:0031091	platelet alpha granule	6	1	0.18	0.16914
GO:0072687	meiotic spindle	6	1	0.18	0.16914
GO:0000793	condensed chromosome	72	4	2.19	0.17390
GO:0005774	vacuolar membrane	207	9	6.29	0.17454
GO:0005788	endoplasmic reticulum lumen	25	2	0.76	0.17505
GO:0030496	midbody	25	2	0.76	0.17505
GO:0032155	cell division site part	25	2	0.76	0.17505
GO:0044436	thylakoid part	73	4	2.22	0.17997
GO:0036477	somatodendritic compartment	126	6	3.83	0.18238
GO:0150034	distal axon	75	4	2.28	0.19232
GO:0000306	extrinsic component of vacuolar membrane	7	1	0.21	0.19443
GO:0000796	condensin complex	7	1	0.21	0.19443
GO:0005658	alpha DNA polymerase:primase complex	7	1	0.21	0.19443
GO:0005703	polytene chromosome puff	7	1	0.21	0.19443
GO:0005924	cell-substrate adherens junction	7	1	0.21	0.19443
GO:0005925	focal adhesion	7	1	0.21	0.19443
GO:0014704	intercalated disc	7	1	0.21	0.19443
GO:0030055	cell-substrate junction	7	1	0.21	0.19443
GO:0044291	cell-cell contact zone	7	1	0.21	0.19443
GO:0000794	condensed nuclear chromosome	51	3	1.55	0.20094
GO:0044429	mitochondrial part	361	14	10.97	0.20145
GO:0031310	intrinsic component of vacuolar membrane	8	1	0.24	0.21896
GO:0034045	phagophore assembly site membrane	8	1	0.24	0.21896
GO:0098563	intrinsic component of synaptic vesicle ...	8	1	0.24	0.21896
GO:0009535	chloroplast thylakoid membrane	54	3	1.64	0.22491
GO:0033267	axon part	81	4	2.46	0.23084
GO:0055035	plastid thylakoid membrane	55	3	1.67	0.23302
GO:0044440	endosomal part	137	6	4.16	0.23560
GO:0098805	whole membrane	403	15	12.25	0.23648
GO:0005912	adherens junction	9	1	0.27	0.24276
GO:0010319	stromule	9	1	0.27	0.24276
GO:0010369	chromocenter	9	1	0.27	0.24276
GO:0019005	SCF ubiquitin ligase complex	9	1	0.27	0.24276
GO:0030672	synaptic vesicle membrane	9	1	0.27	0.24276
GO:0031225	anchored component of membrane	9	1	0.27	0.24276
GO:0032300	mismatch repair complex	9	1	0.27	0.24276
GO:0044232	organelle membrane contact site	9	1	0.27	0.24276
GO:0070161	anchoring junction	9	1	0.27	0.24276
GO:0099501	exocytic vesicle membrane	9	1	0.27	0.24276
GO:0009579	thylakoid	111	5	3.37	0.24681
GO:0001669	acrosomal vesicle	10	1	0.3	0.26583
GO:0045171	intercellular bridge	10	1	0.3	0.26583
GO:0030141	secretory granule	87	4	2.64	0.27111
GO:0099503	secretory vesicle	116	5	3.52	0.27605
GO:0009536	plastid	447	16	13.58	0.27715
GO:0098798	mitochondrial protein complex	88	4	2.67	0.27795
GO:0005795	Golgi stack	61	3	1.85	0.28267
GO:0000781	chromosome, telomeric region	35	2	1.06	0.28800
GO:0009533	chloroplast stromal thylakoid	11	1	0.33	0.28821
GO:0009570	chloroplast stroma	177	7	5.38	0.29053
GO:0005740	mitochondrial envelope	237	9	7.2	0.29150
GO:0009532	plastid stroma	178	7	5.41	0.29543
GO:0010008	endosome membrane	121	5	3.68	0.30598
GO:0032009	early phagosome	12	1	0.36	0.30991
GO:0008021	synaptic vesicle	37	2	1.12	0.31074
GO:0070382	exocytic vesicle	38	2	1.15	0.32206
GO:0000329	fungal-type vacuole membrane	66	3	2.01	0.32474
GO:0031966	mitochondrial membrane	215	8	6.53	0.32840
GO:0031012	extracellular matrix	13	1	0.4	0.33096
GO:0009986	cell surface	67	3	2.04	0.33318
GO:0009507	chloroplast	436	15	13.25	0.34295
GO:0043601	nuclear replisome	14	1	0.43	0.35137
GO:0097060	synaptic membrane	14	1	0.43	0.35137
GO:0005811	lipid droplet	42	2	1.28	0.36682
GO:0005743	mitochondrial inner membrane	162	6	4.92	0.36971
GO:0000795	synaptonemal complex	15	1	0.46	0.37116
GO:0014069	postsynaptic density	15	1	0.46	0.37116
GO:0032279	asymmetric synapse	15	1	0.46	0.37116
GO:0098984	neuron to neuron synapse	15	1	0.46	0.37116
GO:0099086	synaptonemal structure	15	1	0.46	0.37116
GO:0099572	postsynaptic specialization	15	1	0.46	0.37116
GO:0101031	chaperone complex	15	1	0.46	0.37116
GO:1990204	oxidoreductase complex	43	2	1.31	0.37785
GO:0044425	membrane part	737	24	22.4	0.38637
GO:0000109	nucleotide-excision repair complex	16	1	0.49	0.39036
GO:0030894	replisome	16	1	0.49	0.39036
