GO.ID	Term	Annotated	Significant	Expected	classic
GO:0009225	nucleotide-sugar metabolic process	27	10	0.46	6.2e-12
GO:0009226	nucleotide-sugar biosynthetic process	18	8	0.31	1.7e-10
GO:0042350	GDP-L-fucose biosynthetic process	7	5	0.12	2.5e-08
GO:0046368	GDP-L-fucose metabolic process	7	5	0.12	2.5e-08
GO:0042351	'de novo' GDP-L-fucose biosynthetic proc...	5	4	0.09	3.8e-07
GO:0015908	fatty acid transport	11	4	0.19	2.3e-05
GO:0019673	GDP-mannose metabolic process	11	4	0.19	2.3e-05
GO:0015718	monocarboxylic acid transport	22	5	0.38	2.6e-05
GO:1901264	carbohydrate derivative transport	37	6	0.63	2.9e-05
GO:0055086	nucleobase-containing small molecule met...	313	16	5.35	3.9e-05
GO:1901135	carbohydrate derivative metabolic proces...	389	18	6.65	4.2e-05
GO:2001237	negative regulation of extrinsic apoptot...	13	4	0.22	4.9e-05
GO:0015711	organic anion transport	106	9	1.81	5.9e-05
GO:1901137	carbohydrate derivative biosynthetic pro...	260	14	4.45	7.6e-05
GO:0009636	response to toxic substance	198	12	3.39	8.9e-05
GO:0071346	cellular response to interferon-gamma	15	4	0.26	9.1e-05
GO:2001236	regulation of extrinsic apoptotic signal...	15	4	0.26	9.1e-05
GO:0071345	cellular response to cytokine stimulus	115	9	1.97	0.00011
GO:0034097	response to cytokine	143	10	2.45	0.00012
GO:0007520	myoblast fusion	7	3	0.12	0.00016
GO:0043502	regulation of muscle adaptation	7	3	0.12	0.00016
GO:0043200	response to amino acid	33	5	0.56	0.00020
GO:0033555	multicellular organismal response to str...	8	3	0.14	0.00025
GO:0014732	skeletal muscle atrophy	2	2	0.03	0.00029
GO:0014874	response to stimulus involved in regulat...	2	2	0.03	0.00029
GO:0014878	response to electrical stimulus involved...	2	2	0.03	0.00029
GO:0014891	striated muscle atrophy	2	2	0.03	0.00029
GO:0030536	larval feeding behavior	2	2	0.03	0.00029
GO:0048633	positive regulation of skeletal muscle t...	2	2	0.03	0.00029
GO:0034341	response to interferon-gamma	20	4	0.34	0.00030
GO:0034612	response to tumor necrosis factor	20	4	0.34	0.00030
GO:0097191	extrinsic apoptotic signaling pathway	21	4	0.36	0.00037
GO:0006047	UDP-N-acetylglucosamine metabolic proces...	9	3	0.15	0.00037
GO:0015780	nucleotide-sugar transmembrane transport	9	3	0.15	0.00037
GO:0009612	response to mechanical stimulus	38	5	0.65	0.00040
GO:0044281	small molecule metabolic process	736	24	12.59	0.00047
GO:0007416	synapse assembly	23	4	0.39	0.00053
GO:0051716	cellular response to stimulus	1273	34	21.78	0.00065
GO:0007584	response to nutrient	64	6	1.09	0.00066
GO:0043500	muscle adaptation	11	3	0.19	0.00071
GO:0072530	purine-containing compound transmembrane...	11	3	0.19	0.00071
GO:0006820	anion transport	149	9	2.55	0.00079
GO:0006811	ion transport	287	13	4.91	0.00081
GO:0001662	behavioral fear response	3	2	0.05	0.00085
GO:0002209	behavioral defense response	3	2	0.05	0.00085
GO:0006042	glucosamine biosynthetic process	3	2	0.05	0.00085
GO:0042596	fear response	3	2	0.05	0.00085
