GO.ID	Term	Annotated	Significant	Expected	classic
GO:0016491	oxidoreductase activity	319	44	20.51	3e-07
GO:0008198	ferrous iron binding	14	6	0.9	0.00013
GO:0004300	enoyl-CoA hydratase activity	3	3	0.19	0.00026
GO:0016616	oxidoreductase activity, acting on the C...	51	11	3.28	0.00028
GO:0016846	carbon-sulfur lyase activity	12	5	0.77	0.00057
GO:0050662	coenzyme binding	114	17	7.33	0.00077
GO:0003995	acyl-CoA dehydrogenase activity	4	3	0.26	0.00100
GO:0016614	oxidoreductase activity, acting on CH-OH...	60	11	3.86	0.00123
GO:0008289	lipid binding	79	13	5.08	0.00129
GO:0019842	vitamin binding	28	7	1.8	0.00151
GO:0048037	cofactor binding	165	21	10.61	0.00161
GO:0016627	oxidoreductase activity, acting on the C...	37	8	2.38	0.00193
GO:0000062	fatty-acyl-CoA binding	5	3	0.32	0.00238
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	5	3	0.32	0.00238
GO:0005506	iron ion binding	31	7	1.99	0.00285
GO:0016836	hydro-lyase activity	24	6	1.54	0.00331
GO:0003826	alpha-ketoacid dehydrogenase activity	2	2	0.13	0.00411
GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2...	2	2	0.13	0.00411
GO:0004022	alcohol dehydrogenase (NAD) activity	2	2	0.13	0.00411
GO:0004121	cystathionine beta-lyase activity	2	2	0.13	0.00411
GO:0004123	cystathionine gamma-lyase activity	2	2	0.13	0.00411
GO:0004322	ferroxidase activity	2	2	0.13	0.00411
GO:0016508	long-chain-enoyl-CoA hydratase activity	2	2	0.13	0.00411
GO:0016509	long-chain-3-hydroxyacyl-CoA dehydrogena...	2	2	0.13	0.00411
GO:0016724	oxidoreductase activity, oxidizing metal...	2	2	0.13	0.00411
GO:0017089	glycolipid transporter activity	2	2	0.13	0.00411
GO:0017172	cysteine dioxygenase activity	2	2	0.13	0.00411
GO:0043546	molybdopterin cofactor binding	2	2	0.13	0.00411
GO:0051861	glycolipid binding	2	2	0.13	0.00411
GO:0097001	ceramide binding	2	2	0.13	0.00411
GO:0008199	ferric iron binding	6	3	0.39	0.00453
GO:0016702	oxidoreductase activity, acting on singl...	6	3	0.39	0.00453
GO:0003824	catalytic activity	1923	140	123.63	0.00575
GO:0016782	transferase activity, transferring sulfu...	19	5	1.22	0.00577
GO:0016903	oxidoreductase activity, acting on the a...	19	5	1.22	0.00577
GO:0016701	oxidoreductase activity, acting on singl...	7	3	0.45	0.00755
GO:1901567	fatty acid derivative binding	7	3	0.45	0.00755
GO:0005543	phospholipid binding	46	8	2.96	0.00792
GO:0016835	carbon-oxygen lyase activity	29	6	1.86	0.00892
GO:0043621	protein self-association	21	5	1.35	0.00909
GO:0016829	lyase activity	101	13	6.49	0.01142
GO:0015398	high-affinity secondary active ammonium ...	8	3	0.51	0.01151
GO:0004151	dihydroorotase activity	3	2	0.19	0.01181
GO:0004535	poly(A)-specific ribonuclease activity	3	2	0.19	0.01181
GO:0030378	serine racemase activity	3	2	0.19	0.01181
GO:0034986	iron chaperone activity	3	2	0.19	0.01181
GO:0046625	sphingolipid binding	3	2	0.19	0.01181
GO:0070273	phosphatidylinositol-4-phosphate binding	3	2	0.19	0.01181
GO:0036094	small molecule binding	432	39	27.77	0.01392
GO:0051537	2 iron, 2 sulfur cluster binding	16	4	1.03	0.01634
GO:0030695	GTPase regulator activity	25	5	1.61	0.01926
GO:0035091	phosphatidylinositol binding	34	6	2.19	0.01933
