Gene	Day49	Day56	Day72	Day91	Day126	Day189
Sm_mito_g00002	NA	NA	NA	NA	-3.71182726420583	NA
Sm_mito_g00008	NA	NA	NA	NA	-4.56369266078508	NA
Sm_plastid_g00001	-3.08529898620995	-2.18809759702736	-2.78258053195907	-2.80214876017888	-5.127504992392	-6.58277113099671
Sm_plastid_g00009	2.99657911592005	NA	NA	2.47708744583755	NA	NA
Sm_plastid_g00037	NA	NA	NA	NA	-2.85148832332468	NA
Sm_plastid_g00046	NA	-3.42056523024261	-3.46605274984957	-5.5623799591364	-4.7159692646559	-5.40269755178922
Sm_plastid_g00047	NA	NA	NA	NA	-5.61374431280784	NA
Sm_plastid_g00048	NA	NA	NA	NA	-4.6376771637965	NA
Sm_plastid_g00049	NA	NA	-1.186710727043	-1.28840890498983	-1.47887870672738	NA
Sm_plastid_g00052	3.21123327742136	2.06938868762802	NA	NA	2.24198018783569	NA
Sm_plastid_g00053	2.63510286346159	1.3272826203456	1.28635852234332	1.37782019243539	1.40189134091588	1.40254921629261
Sm_plastid_g00054	2.16852997183182	NA	NA	NA	NA	NA
Sm_plastid_g00055	2.19692248789682	1.40350619372856	1.4425332691703	1.4260904223668	1.4132414970486	1.7119554590375
Sm_plastid_g00065	NA	NA	NA	NA	-2.02679252550592	NA
Sm_plastid_g00068	NA	-3.47019623857445	-3.88625921330404	-3.70375489652129	-4.93793311702563	NA
Sm_plastid_g00069	NA	NA	NA	-2.75144904658269	-3.30735498646501	-6.52787432496444
Sm_plastid_g00075	NA	NA	NA	NA	NA	-5.7431019751372
Sm_plastid_g00077	NA	NA	-4.53108115427826	-3.43786342077661	-3.82577407282123	-8.06196476177807
Sm_plastid_g00078	NA	NA	-5.75502036576776	NA	-5.46443860382114	NA
Sm_plastid_g00082	NA	NA	-4.82627795116662	NA	NA	NA
Sm_plastid_g00084	NA	NA	NA	NA	-2.52584425960286	NA
Sm_plastid_g00092	-3.53012632742851	-3.17129020362936	-3.65200606213681	-3.63599022232521	-4.12503982745847	-4.15830441892387
Sm_plastid_g00094	-2.56811114050214	-2.80644465828727	-3.09714067561184	-3.45344363717717	-3.98828307953618	-2.53478891348326
Sm_plastid_g00096	NA	NA	NA	NA	-4.86988034931797	NA
Sm_plastid_g00104	NA	NA	NA	NA	-4.2318766263876	NA
Sm_plastid_g00106	1.0668782354188	NA	NA	NA	NA	NA
Sm_plastid_g00107	1.7700739753143	1.30601898619538	NA	NA	NA	NA
Sm_plastid_g00109	1.85129372519857	1.47561272349276	NA	NA	NA	NA
Sm_plastid_g00110	NA	NA	-1.16387757651618	-1.20445327186105	-1.85906780087711	-1.69876304837148
Sm_plastid_g00111	NA	NA	NA	NA	-4.1750932870859	NA
Sm_plastid_g00112	NA	-2.94644866727501	-3.50411991700294	-3.47828620220845	-3.90837972280715	NA
Sm_plastid_g00113	NA	NA	-3.08276563866501	-3.37454007495658	-3.9074378480263	-2.82962447134233
Sm_plastid_g00117	NA	NA	NA	-5.51877712129613	-5.61050137455489	-6.25916142170867
Sm_plastid_g00135	NA	NA	NA	-5.59865689711483	NA	NA
Sm_plastid_g00138	-2.99649750985302	-3.47004269613634	-3.43985257911278	-3.42946527264567	-4.18346608618688	-3.56736545373545
Sm_plastid_g00139	NA	NA	NA	NA	NA	-5.93052682306992
Sm_plastid_g00141	NA	NA	NA	NA	-4.69760116433093	NA
Sm_plastid_g00144	-3.82261737444052	NA	NA	-2.59822806428845	-3.25760096068258	-4.07603584038955
Sm_plastid_g00147	-3.7277435714688	-2.81848672174827	-3.43639939187386	-3.29037566305118	-4.30467515796896	-4.45761870642155
