Sm_t00002599-RA	1-aminocyclopropane-1-carboxylate synthase	4.4.1.14				-	-
Sm_t00015478-RA	1,3-beta-glucan synthase component	2.4.1.34				-	-
Sm_t00004328-RA	2-oxoglutarate dehydrogenase E1 component, mitochondrial	1.2.4.2				-	Mito
Sm_t00008556-RA	2OG-Fe(II) oxygenase	1.14.11.-				-	-
Sm_t00012777-RA	2OG-Fe(II) oxygenase superfamily protein	-				-	-
Sm_t00001679-RA	3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100				-	-
Sm_t00013333-RA	3-phosphoinositide-dependent protein kinase	2.7.11.1				-	-
Sm_t00008619-RA	3'-5' exonuclease	3.1.-.-		Half coverage		-	-
Sm_t00012563-RA	3'-5' exonuclease	3.1.-.-		Half coverage		-	-
Sm_t00007751-RA	4-hydroxybenzoate polyprenyltransferase, mitochondrial	2.5.1.39				-	-
Sm_t00006986-RA	6-phosphofructokinase (ATP)	2.7.1.11				-	-
Sm_t00000745-RA	6-phosphofructokinase (pyrophosphate)	2.7.1.90				-	-
Sm_t00018507-RA	ABC transporter	-			Check family	-	-
Sm_t00005181-RA	ABC transporter, ABC-B family	-			Check family	-	-
Sm_t00006302-RA	ABC transporter, ABC-G family	-			Check family	-	-
Sm_t00012169-RA	ABC transporter, ABC-G family	-			Check family	-	-
Sm_t00017253-RA	ABC transporter, ABC-G family	-			Check family	-	-
Sm_t00017650-RA	ABC transporter, ABC-G family	-			Check family	-	-
Sm_t00002182-RA	ABC1 kinase family protein, partial	2.7.-.-		Models should be merged		-	-
Sm_t00005412-RA	abnormal spindle-related protein	-		Model should be split and partly merged with 5411/5413		-	-
Sm_t00011889-RA	acetyl-CoA carboxylase, chloroplastic	6.4.1.2				Plastid	-
Sm_t00001059-RA	acetyl-CoA synthetase	6.2.1.1				-	-
Sm_t00003804-RA	acetylornithine aminotransferase, chloroplastic	2.6.1.11				Plastid	-
Sm_t00006829-RA	acireductone dioxygenase	1.13.11.53,1.13.11.54				-	-
Sm_t00013845-RA	activated RNA polymerase II transcriptional coactivator p15	-				-	-
Sm_t00001677-RA	adenine phosphoribosyltransferase, partial	2.4.2.7		Models should be merged		-	-
Sm_t00001678-RA	adenine phosphoribosyltransferase, partial	2.4.2.7		Models should be merged		-	-
Sm_t00006501-RA	adenylate/guanylate cyclase domain-containing protein	4.6.1.-				-	-
Sm_t00005960-RA	adenylyl-sulfate kinase	2.7.1.25				-	-
Sm_t00002136-RA	ADP/ATP carrier protein	-				-	-
Sm_t00010682-RA	alanine aminotransferase, mitochondrial	2.6.1.2				-	Mito
Sm_t00011641-RA	aldehyde dehydrogenase	1.2.1.3				-	-
Sm_t00012259-RA	aldo-keto reductase family protein	1.1.1.-		Type?		-	-
Sm_t00012970-RA	aldo-keto reductase family protein	1.1.1.-		Type?		-	-
Sm_t00008430-RA	aldo-keto reductase family protein	1.1.1.-		Type?		-	-
Sm_t00011084-RA	aliphatic amidase	3.5.1.4				-	-
Sm_t00000084-RA	allantoicase	3.5.3.4				-	-
Sm_t00010662-RA	alpha carbonic anhydrase	4.2.1.1				-	-
Sm_t00005447-RA	alpha-galactosidase	3.2.1.22				-	-
Sm_t00001235-RA	alpha-L-rhamnosidase	3.2.1.40				-	-
Sm_t00008429-RA	alpha/beta hydrolase family protein	-				-	-
Sm_t00003718-RA	alpha/beta hydrolase family protein	-				-	-
Sm_t00012035-RA	alpha/beta hydrolase family protein	-				-	-
Sm_t00018099-RA	alpha/beta hydrolase family protein	-				-	-
Sm_t00007581-RA	alpha/beta hydrolase family protein	-				-	-
Sm_t00005166-RA	amino-acid acetyltransferase	2.3.1.1		Weird upstream coverage; could be truncated		-	-
Sm_t00011064-RA	anaphase-promoting complex subunit 1	-				-	-
Sm_t00009425-RA	ankyrin repeat domain-containing protein	-				-	-
Sm_t00016996-RA	ankyrin repeat domain-containing protein	-				-	-
Sm_t00017005-RA	ankyrin repeat domain-containing protein	-				-	-
Sm_t00017057-RA	ankyrin repeat domain-containing protein	-				-	-
Sm_t00005295-RA	ankyrin repeat domain-containing protein	-				-	-
Sm_t00016502-RA	ankyrin repeat domain-containing protein	-				-	-
Sm_t00002359-RA	anoctamin	-				-	-
Sm_t00017904-RA	AP-4 complex accessory subunit Tepsin	-		Half coverage		-	-
Sm_t00020525-RA	AP-4 complex accessory subunit Tepsin	-		Half coverage		-	-
Sm_t00018662-RA	AP2/ERF family transcription factor	-				-	-
Sm_t00016439-RA	arylsulfatase G	3.1.6.1,3.1.6.15		Triple-check?		-	-
Sm_t00017044-RA	asparagine synthetase	6.3.5.4		Weird coverage		-	-
Sm_t00015525-RA	aspartate-ammonia ligase	6.3.1.1				-	-
Sm_t00011498-RA	aspartic peptidase, A1 family	3.4.23.-				-	-
Sm_t00011797-RA	ATP synthase subunit beta, mitochondrial	7.1.2.2				-	-
Sm_t00006130-RA	ATP-dependent DNA helicase	3.6.4.12				-	-
Sm_t00004931-RA	ATP-dependent DNA helicase, RecQ family	3.6.4.12				-	-
Sm_t00014434-RA	ATP-dependent kinase, chloroplastic	2.7.1.-		AIM12? Uridine kinase?		Plastid	-
Sm_t00008908-RA	aurora kinase	2.7.11.1				-	-
Sm_t00007723-RA	bestrophin family protein	-				-	-
Sm_t00020371-RA	bestrophin family protein, chloroplastic	-		Half coverage		Plastid	-
Sm_t00013463-RA	bestrophin family protein, mitochondrial	-				-	Mito
Sm_t00015480-RA	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase, mitochondrial	2.4.1.144		Should this be mitochondrial?		-	Mito
Sm_t00001474-RA	bifunctional dihydrofolate reductase/thymidylate synthase	1.5.1.3,2.1.1.45				-	-
Sm_t00008301-RA	bile acid:sodium symporter family protein	-				-	-
Sm_t00009609-RA	bile acid:sodium symporter family protein	-				-	-
Sm_t00014465-RA	bile acid:sodium symporter family protein	-				-	-
Sm_t00001108-RA	branched-chain amino acid aminotransferase	2.6.1.42		D-alanine aminotransferase?		-	-
Sm_t00018467-RA	C2HC-type zinc finger protein	-				-	-
Sm_t00005782-RA	calcium-dependent protein kinase	2.7.11.1				-	-
Sm_t00009640-RA	calcium:proton antiporter	-				-	-
Sm_t00005638-RA	CAP domain-containing protein	-				-	-
Sm_t00007847-RA	CAP domain-containing protein	-				-	-
Sm_t00011731-RA	CAP domain-containing protein	-				-	-
Sm_t00014838-RA	CAP domain-containing protein	-				-	-
Sm_t00014484-RA	CAP domain-containing protein	-				-	-
Sm_t00015031-RA	carbohydrate sulfotransferase	2.8.2.-		Type?		-	-
Sm_t00011504-RA	cardiolipin synthase-related protein	2.7.8.-		Triple-check EC?		-	-
Sm_t00000606-RA	cation-transporting ATPase	7.2.2.-		P-type		-	-
Sm_t00010095-RA	Cdc45-like protein	-				-	-
Sm_t00011123-RA	cell division control protein 6	-				-	-
Sm_t00002528-RA	cell division cycle protein 20	-				-	-
Sm_t00006883-RA	cell division cycle protein 20	-				-	-
Sm_t00014856-RA	chalcone isomerase domain-containing protein	-				-	-
Sm_t00005339-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00006234-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00009968-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00009994-RA	chlorophyll a-b binding domain-containing protein	-		Mitochondrial?		-	Mito
Sm_t00011192-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00013186-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00014117-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00014172-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00018476-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00021487-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00021488-RA	chlorophyll a-b binding domain-containing protein	-				-	-
Sm_t00000232-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00000401-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00000987-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00003421-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00003670-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00007377-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00008079-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00008080-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00009220-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00009403-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00009590-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00011988-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00012658-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00015030-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00015706-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00015707-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00016389-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-		Slightly weird coverage		Plastid	-
Sm_t00016968-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00018477-RA	chlorophyll a-b binding domain-containing protein, chloroplastic	-				Plastid	-
Sm_t00000714-RA	chlorophyll a-b binding domain-containing protein, chloroplastic, partial	-		Models should be merged		-	-
Sm_t00000715-RA	chlorophyll a-b binding domain-containing protein, chloroplastic, partial	-		Models should be merged		Plastid	-
Sm_t00004134-RA	choice-of-anchor L domain-containing protein	-				-	-
Sm_t00004254-RA	choline/carnitine O-acyltransferase	2.3.1.-		Fix CDS, VERY truncated		-	-
Sm_t00008859-RA	choline/carnitine O-acyltransferase, chloroplastic	2.3.1.-				Plastid	-
Sm_t00013828-RA	chromatin assembly factor 1 subunit A	-				-	-
Sm_t00013829-RA	chromatin assembly factor 1 subunit A	-				-	-
Sm_t00012105-RA	chromodomain-helicase-DNA-binding protein	3.6.4.12			Type?	-	-
Sm_t00000293-RA	chromosome transmission fidelity factor 18	-				-	-
Sm_t00003398-RA	chromosome transmission fidelity factor 18	-				-	-
Sm_t00010222-RA	citrate synthase, mitochondrial	2.3.3.1				-	Mito
Sm_t00017243-RA	ClC family voltage-gated chloride channel protein, partial	-		Models should be merged		-	-
Sm_t00017244-RA	ClC family voltage-gated chloride channel protein, partial	-		Models should be merged		-	-
Sm_t00013402-RA	condensin complex subunit	-				-	-
Sm_t00002277-RA	condensin complex subunit 1	-				-	-
Sm_t00017250-RA	condensin complex subunit 2	-				-	-
Sm_t00014399-RA	condensin complex subunit 3	-				-	-
Sm_t00001403-RA	condensin-2 complex subunit G2	-				-	-
Sm_t00001406-RA	condensin-2 complex subunit H2	-				-	-
Sm_t00008037-RA	conserved oligomeric Golgi complex subunit 4	-				-	-
Sm_t00006703-RA	COP9 signalosome complex subunit 5	3.4.-.-				-	-
Sm_t00000091-RA	CTD small phosphatase-like protein 2	3.1.3.-		Definitely '2'?		-	-
Sm_t00000434-RA	cyclin family protein	-				-	-
Sm_t00003665-RA	cyclin family protein	-				-	-
Sm_t00004945-RA	cyclin family protein	-				-	-
Sm_t00005819-RA	cyclin family protein	-				-	-
Sm_t00007071-RA	cyclin family protein	-				-	-
Sm_t00007285-RA	cyclin family protein	-		2/3 coverage		-	-
Sm_t00009970-RA	cyclin family protein	-				-	-
Sm_t00010459-RA	cyclin family protein	-				-	-
Sm_t00010460-RA	cyclin family protein	-				-	-
Sm_t00011984-RA	cyclin family protein	-				-	-
Sm_t00016333-RA	cyclin family protein	-				-	-
Sm_t00018465-RA	cyclin family protein	-				-	-
Sm_t00004739-RA	cyclin J family protein	-				-	-
Sm_t00011758-RA	cyclin-dependent kinase	2.7.11.22		Also 2.7.11.23?		-	-
Sm_t00013378-RA	cysteine synthase	2.5.1.47				-	-
Sm_t00013888-RA	cysteine synthase	2.5.1.47				-	-
Sm_t00004625-RA	cysteine synthase 1, mitochondrial	2.5.1.47				-	Mito
Sm_t00003367-RA	cysteine synthase, mitochondrial	2.5.1.47				-	Mito
Sm_t00015390-RA	cytochrome b561 and DOMON domain-containing protein	-				-	-
Sm_t00003209-RA	cytochrome b6-f complex iron-sulfur subunit	7.1.1.6				-	-
Sm_t00012684-RA	cytochrome c family protein, chloroplastic	-		c6 or c-553?		Plastid	-
Sm_t00009118-RA	cytochrome P450 family protein, chloroplastic	-				Plastid	-
Sm_t00004621-RA	cytochrome-c peroxidase	1.11.1.5				-	-
Sm_t00022490-RA	cytochrome-c peroxidase, chloroplastic	1.11.1.5				Plastid	-
Sm_t00001391-RA	cytoplasmic dynein heavy chain	-				-	-
Sm_t00012567-RA	D-2-hydroxyacid dehydrogenase, mitochondrial	1.1.1.-				-	Mito
Sm_t00012835-RA	D-cysteine desulfhydrase	4.4.1.15				-	-
Sm_t00005887-RA	Delta-6 fatty acid desaturase	1.14.19.3		Also 1.14.19.44?		-	-
Sm_t00007801-RA	Delta(24)-sterol reductase	1.3.1.72				-	-
Sm_t00005945-RA	DENN domain-containing protein	-				-	-
Sm_t00003463-RA	diacylglycerol lipase	3.1.1.116				-	-
Sm_t00004961-RA	diacylglycerol lipase	3.1.1.116				-	-
Sm_t00000664-RA	dienelactone hydrolase	3.1.1.45				-	-
